sod,sat,const,alfa_ppp,beta_ppp,alfa_ind,beta_ind,coeff_ok,PPP_PIF,ind_PIF,PIF_diff_mm,PPP_LIF,ind_LIF,LIF_diff_mm,PASS
240.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26810319.0321,26810319.0321,0.0000,26810325.7048,26810325.7048,0.0000,1
240.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25026855.8438,25026855.8438,0.0000,25026860.3357,25026860.3357,0.0000,1
240.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23748371.6038,23748371.6038,0.0000,23748378.2593,23748378.2593,0.0000,1
240.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23150714.5866,23150714.5866,0.0000,23150720.0182,23150720.0182,0.0000,1
240.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20536775.6650,20536775.6650,0.0000,20536778.6544,20536778.6544,0.0000,1
240.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23072301.4158,23072301.4158,0.0000,23072304.3352,23072304.3352,0.0000,1
240.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23855026.5208,23855026.5208,0.0000,23855025.8997,23855025.8997,0.0000,1
240.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20076706.3084,20076706.3084,0.0000,20076710.6937,20076710.6937,0.0000,1
240.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21917890.5856,21917890.5856,0.0000,21917896.4015,21917896.4015,0.0000,1
240.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23405149.9310,23405149.9310,0.0000,23405162.5028,23405162.5028,0.0000,1
240.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23211854.7648,23211854.7648,0.0000,23211867.4129,23211867.4129,0.0000,1
270.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26410021.5747,26410021.5747,0.0000,26410036.7056,26410036.7056,0.0000,1
270.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26803084.1772,26803084.1772,0.0000,26803090.4557,26803090.4557,0.0000,1
270.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25022767.3933,25022767.3933,0.0000,25022771.7877,25022771.7877,0.0000,1
270.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23740050.1017,23740050.1017,0.0000,23740056.5054,23740056.5054,0.0000,1
270.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23159594.4952,23159594.4952,0.0000,23159598.6585,23159598.6585,0.0000,1
270.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20530161.7588,20530161.7588,0.0000,20530165.2451,20530165.2451,0.0000,1
270.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23060729.6701,23060729.6701,0.0000,23060733.1363,23060733.1363,0.0000,1
270.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23841775.2174,23841775.2174,0.0000,23841777.7495,23841777.7495,0.0000,1
270.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20077764.6152,20077764.6152,0.0000,20077768.7610,20077768.7610,0.0000,1
270.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21933515.3990,21933515.3990,0.0000,21933521.1883,21933521.1883,0.0000,1
270.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23393628.8146,23393628.8146,0.0000,23393641.1006,23393641.1006,0.0000,1
270.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23225262.9519,23225262.9519,0.0000,23225275.5431,23225275.5431,0.0000,1
