sod,sat,const,phase_cycles_L1,phase_cycles_L2,lambda1,lambda2,PPP_phase_range_L1,PPP_phase_range_L2,independent_phase_range_L1,independent_phase_range_L2,difference_L1_mm,difference_L2_mm,PASS
210.0,G27,G,123055469.3870,95887368.0200,0.190293673,0.244210213,23416677.2276,23416674.6089,23416677.2276,23416674.6089,0.0000,0.0000,1
210.0,G31,G,121908633.3380,94993738.7180,0.190293673,0.244210213,23198441.5837,23198441.2063,23198441.5837,23198441.2063,0.0000,0.0000,1
240.0,E04,E,138776446.0470,103631783.6350,0.190293673,0.254828049,26408279.6162,26408285.2164,26408279.6162,26408285.2164,0.0000,0.0000,1
240.0,E05,E,140889184.4830,105209439.3470,0.190293673,0.254828049,26810320.3728,26810316.1432,26810320.3728,26810316.1432,0.0000,0.0000,1
240.0,E09,E,131517101.4330,98210859.6420,0.190293673,0.254828049,25026872.2675,25026881.7326,25026872.2675,25026881.7326,0.0000,0.0000,1
240.0,E16,E,124798548.1970,93193708.0970,0.190293673,0.254828049,23748374.0963,23748370.7939,23748374.0963,23748370.7939,0.0000,0.0000,1
240.0,G01,G,121657833.8380,94798301.5050,0.190293673,0.244210213,23150716.0257,23150713.4428,23150716.0257,23150713.4428,0.0000,0.0000,1
240.0,G03,G,107921503.0450,84094679.1120,0.190293673,0.244210213,20536779.1884,20536779.5338,20536779.1884,20536779.5338,0.0000,0.0000,1
240.0,G04,G,121245777.7200,94477229.4410,0.190293673,0.244210213,23072304.3536,23072304.3655,23072304.3536,23072304.3655,0.0000,0.0000,1
240.0,G08,G,125359026.3560,97682367.8530,0.190293673,0.244210213,23855029.5437,23855031.9012,23855029.5437,23855031.9012,0.0000,0.0000,1
240.0,G16,G,105503838.5560,82210789.2230,0.190293673,0.244210213,20076712.9331,20076714.3820,20076712.9331,20076714.3820,0.0000,0.0000,1
240.0,G26,G,115179363.2000,89750173.4150,0.190293673,0.244210213,21917904.0539,21917909.0046,21917904.0539,21917909.0046,0.0000,0.0000,1
240.0,G27,G,122994937.9300,95840200.7020,0.190293673,0.244210213,23405158.4743,23405155.8681,23405158.4743,23405155.8681,0.0000,0.0000,1
240.0,G31,G,121979183.4480,95048712.8130,0.190293673,0.244210213,23211866.8233,23211866.4418,23211866.8233,23211866.4418,0.0000,0.0000,1
270.0,E04,E,138785716.6840,103638706.4960,0.190293673,0.254828049,26410043.7598,26410049.3556,26410043.7598,26410049.3556,0.0000,0.0000,1
270.0,E05,E,140851162.9870,105181046.6680,0.190293673,0.254828049,26803085.1227,26803080.8922,26803085.1227,26803080.8922,0.0000,0.0000,1
270.0,E09,E,131495615.9770,98194815.3130,0.190293673,0.254828049,25022783.7211,25022793.1876,25022783.7211,25022793.1876,0.0000,0.0000,1
270.0,E16,E,124754817.0910,93161051.7550,0.190293673,0.254828049,23740052.3435,23740049.0420,23740052.3435,23740049.0420,0.0000,0.0000,1
270.0,G01,G,121704491.3970,94834658.0390,0.190293673,0.244210213,23159594.6640,23159592.0798,23159594.6640,23159592.0798,0.0000,0.0000,1
270.0,G03,G,107886749.3420,84067598.3030,0.190293673,0.244210213,20530165.7786,20530166.1237,20530165.7786,20530166.1237,0.0000,0.0000,1
270.0,G04,G,121184970.6680,94429847.3270,0.190293673,0.244210213,23060733.1564,23060733.1694,23060733.1564,23060733.1694,0.0000,0.0000,1
270.0,G08,G,125289406.9530,97628119.0160,0.190293673,0.244210213,23841781.4118,23841783.7811,23841781.4118,23841783.7811,0.0000,0.0000,1
270.0,G16,G,105509398.7530,82215121.8520,0.190293673,0.244210213,20077771.0035,20077772.4542,20077771.0035,20077772.4542,0.0000,0.0000,1
270.0,G26,G,115261472.0290,89814154.3310,0.190293673,0.244210213,21933528.8445,21933533.7977,21933528.8445,21933533.7977,0.0000,0.0000,1
270.0,G27,G,122934392.6540,95793022.6160,0.190293673,0.244210213,23393637.0914,23393634.4976,23393637.0914,23393634.4976,0.0000,0.0000,1
270.0,G31,G,122049643.6300,95103616.8420,0.190293673,0.244210213,23225274.9501,23225274.5664,23225274.9501,23225274.5664,0.0000,0.0000,1
