epoch,sat_id,state_index,active,observable,lifecycle_state,lineage_id,generation,parent_lineage_id,sigma_mm,resets,accepts,rejects,born_epoch,lifetime_epochs,rejection_streak,acceptance_streak,continuous_active_epochs,continuous_filter_epochs,rolling_sigma_mm,convergence_score
900,G16,13,0,0,DORMANT,LIN-001464,13,LIN-001462,19955.43,13,1,262,275,625,1,0,0,0,19993.74,0.0000
900,G17,28,1,1,ACTIVE,LIN-001523,0,,59.31,0,72,376,452,448,3,0,449,72,60.68,0.1703
900,G19,29,1,1,ACTIVE,LIN-001675,0,,59.32,0,52,305,543,357,3,0,358,52,60.69,0.1703
900,G22,27,1,1,ACTIVE,LIN-001485,0,,59.32,0,38,469,367,533,17,0,518,38,60.69,0.1703
900,G26,14,0,0,DORMANT,LIN-001448,3,LIN-001442,19799.46,3,2,119,123,777,1,0,0,0,20000.00,0.0000
900,G27,15,0,0,DORMANT,LIN-001510,9,LIN-001509,19964.34,23,37,334,411,489,0,0,0,0,19994.16,0.0000
900,G30,26,1,1,ACTIVE,LIN-001511,1,LIN-001468,49.93,1,53,452,425,475,10,0,476,48,50.23,0.1750
900,G31,16,0,0,DORMANT,LIN-001436,5,LIN-001429,20000.00,4,0,44,79,821,4,0,0,0,20000.00,0.0000
1200,E02,24,1,1,ACTIVE,LIN-001463,0,,46.86,0,80,822,275,925,20,0,904,80,47.11,0.1766
1200,E03,25,0,0,DORMANT,LIN-001904,0,,19992.68,4,71,618,1007,193,3,0,0,0,19998.88,0.0000
1200,E04,6,0,0,DORMANT,LIN-001446,0,,19991.01,5,2,96,105,1095,0,0,0,0,20000.00,0.0000
1200,E05,17,0,0,DORMANT,LIN-001787,5,LIN-001786,19973.81,5,84,699,782,418,7,0,0,0,19998.23,0.0000
1200,E09,7,0,0,DORMANT,LIN-001659,11,LIN-001652,19956.62,11,16,504,531,669,0,0,0,0,20000.00,0.0000
1200,E14,35,1,1,ACTIVE,LIN-001899,0,,51.62,0,34,197,969,231,13,0,232,34,52.54,0.1742
1200,E16,8,0,0,DORMANT,LIN-001662,75,LIN-001660,19981.59,75,2,455,532,668,0,0,0,0,20000.00,0.0000
1200,E18,22,0,0,DORMANT,LIN-001449,0,,20000.00,0,0,0,141,1059,0,0,0,0,20000.00,0.0000
1200,E25,20,0,0,DORMANT,LIN-001767,1,LIN-001430,51.64,1,131,916,689,511,5,0,0,0,55.87,0.0000
1200,E30,34,1,1,ACTIVE,LIN-001933,1,LIN-001893,51.65,1,29,206,1087,113,1,0,114,18,52.60,0.1742
