epoch,sat,constellation,residual_mm,S_phase_mm2,NIS,gate_mode,accepted,K_amb,clk_sigma_mm,amb_sigma_mm
270,E25,E,-22.4797,300000387894.6049,1.68445893e-09,absolute,1,0.000000,547722.9107,85.4701
270,G07,G,-31.5245,300000387935.0778,3.31264308e-09,absolute,1,0.000000,547722.9107,81.8459
270,G08,G,-27.8154,300000387917.8153,2.57898314e-09,absolute,1,0.000000,547722.9107,78.4341
270,G09,G,-32.7979,300000387878.6422,3.58566931e-09,absolute,1,0.000000,547722.9107,75.9022
270,G27,G,-20.0799,300000387918.6592,1.34400067e-09,absolute,1,0.000000,547722.9107,79.9328
275,G07,G,44.5128,300000384894.9946,6.60460863e-09,absolute,1,0.000000,547722.9076,80.4206
275,G27,G,17.8440,300000384842.0787,1.06135831e-09,absolute,1,0.000000,547722.9076,78.7803
278,G03,G,-41.3948,300000386909.5814,5.71175340e-09,absolute,1,0.000000,547722.9090,75.4070
283,E05,E,13.3939,300000384904.7415,5.97985211e-10,absolute,1,0.000000,547722.9077,79.8779
283,E25,E,12.8837,300000384901.9707,5.53295533e-10,absolute,1,0.000000,547722.9077,83.2284
283,G07,G,3.8466,300000384935.9733,4.93207720e-11,absolute,1,0.000000,547722.9077,79.4474
283,G08,G,11.0661,300000384930.8592,4.08194817e-10,absolute,1,0.000000,547722.9077,76.8305
283,G09,G,10.1363,300000384867.7554,3.42480904e-10,absolute,1,0.000000,547722.9077,74.3845
283,G27,G,-17.0433,300000384868.4666,9.68245248e-10,absolute,1,0.000000,547722.9077,77.9037
285,G03,G,-3.4187,300000380927.2546,3.89572724e-11,absolute,1,0.000000,547722.9034,74.4399
286,G03,G,-26.8481,300000000061.1391,2.40274160e-09,absolute,1,0.000000,547722.5627,74.1062
288,E05,E,37.1888,300000383517.0811,4.61000816e-09,absolute,1,0.000000,547722.9064,78.5880
288,E25,E,37.6346,300000383520.2699,4.72120528e-09,absolute,1,0.000000,547722.9064,81.5359
288,G07,G,32.1579,300000383559.4432,3.44709134e-09,absolute,1,0.000000,547722.9064,77.7013
288,G08,G,30.0720,300000383544.2678,3.01441041e-09,absolute,1,0.000000,547722.9064,75.5444
288,G09,G,33.5482,300000383490.6729,3.75159398e-09,absolute,1,0.000000,547722.9064,73.2595
288,G27,G,7.2860,300000383488.3031,1.76951390e-10,absolute,1,0.000000,547722.9064,76.6754
289,E05,E,10.5148,300000000021.2620,3.68538785e-10,absolute,1,0.000000,547722.5649,78.1038
289,E25,E,8.4298,300000000018.6370,2.36873392e-10,absolute,1,0.000000,547722.5649,80.6501
289,G07,G,15.5961,300000000065.3996,8.10798240e-10,absolute,1,0.000000,547722.5649,76.6751
289,G08,G,8.2185,300000000021.5014,2.25146870e-10,absolute,1,0.000000,547722.5649,74.8989
289,G09,G,7.6613,300000000020.8241,1.95652380e-10,absolute,1,0.000000,547722.5649,72.8456
289,G27,G,-17.2583,300000000040.2604,9.92834603e-10,absolute,1,0.000000,547722.5649,76.0615
294,G14,G,-36.8734,300400380674.3715,4.52612282e-09,absolute,1,0.001332,547722.9049,20000.0000
311,E05,E,-34.0725,300000376134.3160,3.86977081e-09,absolute,1,0.000000,547722.8994,76.6881
311,E25,E,-25.8383,300000376173.2912,2.22539750e-09,absolute,1,0.000000,547722.8994,78.9853
311,G07,G,-42.8021,300000376214.7456,6.10672783e-09,absolute,1,0.000000,547722.8994,75.2934
311,G08,G,-34.6953,300000376196.1726,4.01254828e-09,absolute,1,0.000000,547722.8994,73.7664
311,G09,G,-35.0904,300000376122.2191,4.10445440e-09,absolute,1,0.000000,547722.8994,71.8500
311,G14,G,14.6047,300000749401.0119,7.10991526e-10,absolute,1,0.000001,547722.8994,616.4716
312,G03,G,-13.3192,300000002022.0317,5.91339431e-10,absolute,1,0.000000,547722.5644,71.6632
317,E03,E,10.2784,300400373009.0452,3.51679285e-10,absolute,1,0.001332,547722.8986,20000.0000
317,E05,E,46.3102,300000375223.7560,7.14877354e-09,absolute,1,0.000000,547722.8986,75.5172
317,G07,G,48.7302,300000375294.3738,7.91541633e-09,absolute,1,0.000000,547722.8986,73.9165
317,G08,G,43.4290,300000375264.8285,6.28691417e-09,absolute,1,0.000000,547722.8986,72.3998
317,G14,G,36.2156,300000375436.7445,4.37189608e-09,absolute,1,0.000000,547722.8986,84.7314
317,G27,G,17.9515,300000375186.4064,1.07419047e-09,absolute,1,0.000000,547722.8986,73.6593
319,G03,G,-30.3973,300000375607.7894,3.07998375e-09,absolute,1,0.000000,547722.8982,70.8641
321,G03,G,-11.6477,300000375385.2734,4.52228382e-10,absolute,1,0.000000,547722.8980,70.5279
324,E25,E,-45.3849,300000374484.8810,6.86595376e-09,absolute,1,0.000000,547722.8978,75.8020
324,G07,G,-47.7546,300000374526.4102,7.60165278e-09,absolute,1,0.000000,547722.8978,72.2071
325,E03,E,-15.0841,300000000267.4658,7.58430106e-10,absolute,1,0.000000,547722.5638,79.0324
325,E05,E,-12.2045,300000000029.8583,4.96498333e-10,absolute,1,0.000000,547722.5638,73.9650
325,E25,E,-2.8554,300000000020.7637,2.71781510e-11,absolute,1,0.000000,547722.5638,75.4314
325,G07,G,-9.2359,300000000059.8570,2.84339719e-10,absolute,1,0.000000,547722.5638,71.8247
325,G08,G,-8.5190,300000000032.1911,2.41908950e-10,absolute,1,0.000000,547722.5638,70.8887
325,G09,G,-10.3251,300000000030.5365,3.55357190e-10,absolute,1,0.000000,547722.5638,69.4217
325,G14,G,-5.6208,300000000149.8952,1.05310609e-10,absolute,1,0.000000,547722.5638,80.3848
326,E03,E,-38.9127,300000000181.7390,5.04733381e-09,absolute,1,0.000000,547722.5636,77.9208
326,E05,E,-31.2389,300000000022.3026,3.25290061e-09,absolute,1,0.000000,547722.5636,73.6219
326,E25,E,-17.9046,300000000022.6978,1.06858791e-09,absolute,1,0.000000,547722.5636,74.8446
326,G07,G,-22.9617,300000000059.5103,1.75746532e-09,absolute,1,0.000000,547722.5636,71.3255
326,G08,G,-30.1972,300000000025.8059,3.03957926e-09,absolute,1,0.000000,547722.5636,70.3793
326,G09,G,-32.2781,300000000022.3084,3.47292916e-09,absolute,1,0.000000,547722.5636,69.1135
326,G14,G,-13.6758,300000000123.6951,6.23422095e-10,absolute,1,0.000000,547722.5636,78.6631
327,G03,G,-22.6017,300000001649.1176,1.70278630e-09,absolute,1,0.000000,547722.5635,69.2286
