epoch,sod,sat,ki,alive_epochs,sigma_mm,accepted_phase_updates,rejected_phase_updates,phase_rows_present,phase_rows_missing,last_H_norm,participated_in_update,kalman_gain_norm,last_successful_update_epoch,epochs_since_last_accept,is_newborn,is_recently_reset
22,660.0,G26,10,22,264.4989,22,0,1,0,2.433751,0,0.000000,22,0,0,0
22,660.0,G27,11,22,300.4304,22,0,1,0,2.971508,0,0.000000,22,0,0,0
23,690.0,G01,5,23,273.8923,23,0,1,0,3.033514,0,0.000000,23,0,0,0
23,690.0,G03,6,23,157.2495,23,0,1,0,2.053272,0,0.000000,23,0,0,0
23,690.0,G04,7,23,275.9503,23,0,1,0,2.691404,0,0.000000,23,0,0,0
23,690.0,G16,9,23,152.7742,23,0,1,0,2.037006,0,0.000000,23,0,0,0
23,690.0,G26,10,23,229.8854,23,0,1,0,2.439847,0,0.000000,23,0,0,0
23,690.0,G27,11,23,268.5572,23,0,1,0,2.963446,0,0.000000,23,0,0,0
24,720.0,G01,5,24,251.0664,24,0,1,0,3.041642,0,0.000000,24,0,0,0
24,720.0,G03,6,24,140.5824,24,0,1,0,2.052526,0,0.000000,24,0,0,0
24,720.0,G04,7,24,246.2335,24,0,1,0,2.684864,0,0.000000,24,0,0,0
24,720.0,G16,9,24,136.5434,24,0,1,0,2.037465,0,0.000000,24,0,0,0
24,720.0,G26,10,24,205.7616,24,0,1,0,2.446036,0,0.000000,24,0,0,0
24,720.0,G27,11,24,245.2669,24,0,1,0,2.955463,0,0.000000,24,0,0,0
25,750.0,G01,5,25,233.3634,25,0,1,0,3.049851,0,0.000000,25,0,0,0
25,750.0,G03,6,25,128.1191,25,0,1,0,2.051797,0,0.000000,25,0,0,0
25,750.0,G04,7,25,223.9064,25,0,1,0,2.678376,0,0.000000,25,0,0,0
25,750.0,G16,9,25,124.3991,25,0,1,0,2.037940,0,0.000000,25,0,0,0
25,750.0,G26,10,25,187.7177,25,0,1,0,2.452322,0,0.000000,25,0,0,0
25,750.0,G27,11,25,227.1401,25,0,1,0,2.947555,0,0.000000,25,0,0,0
26,780.0,G01,5,26,219.0524,26,0,1,0,3.058139,0,0.000000,26,0,0,0
26,780.0,G03,6,26,118.3479,26,0,1,0,2.051084,0,0.000000,26,0,0,0
26,780.0,G04,7,26,206.3269,26,0,1,0,2.671940,0,0.000000,26,0,0,0
26,780.0,G16,9,26,114.8705,26,0,1,0,2.038430,0,0.000000,26,0,0,0
26,780.0,G26,10,26,173.5700,26,0,1,0,2.458705,0,0.000000,26,0,0,0
26,780.0,G27,11,26,212.4379,26,0,1,0,2.939725,0,0.000000,26,0,0,0
27,810.0,G01,5,27,207.1463,27,0,1,0,3.066508,0,0.000000,27,0,0,0
27,810.0,G03,6,27,110.7233,27,0,1,0,2.050388,0,0.000000,27,0,0,0
27,810.0,G04,7,27,192.0217,27,0,1,0,2.665557,0,0.000000,27,0,0,0
27,810.0,G16,9,27,107.4061,27,0,1,0,2.038935,0,0.000000,27,0,0,0
27,810.0,G26,10,27,162.1020,27,0,1,0,2.465187,0,0.000000,27,0,0,0
27,810.0,G27,11,27,200.1668,27,0,1,0,2.931969,0,0.000000,27,0,0,0
28,840.0,G01,5,28,197.0149,28,0,1,0,3.074959,0,0.000000,28,0,0,0
28,840.0,G03,6,28,104.0658,28,0,1,0,2.049708,0,0.000000,28,0,0,0
28,840.0,G04,7,28,180.0637,28,0,1,0,2.659225,0,0.000000,28,0,0,0
28,840.0,G16,9,28,100.9025,28,0,1,0,2.039455,0,0.000000,28,0,0,0
28,840.0,G26,10,28,152.5555,28,0,1,0,2.471771,0,0.000000,28,0,0,0
28,840.0,G27,11,28,189.6915,28,0,1,0,2.924289,0,0.000000,28,0,0,0
29,870.0,G01,5,29,188.2536,29,0,1,0,3.083492,0,0.000000,29,0,0,0
29,870.0,G03,6,29,98.4306,29,0,1,0,2.049044,0,0.000000,29,0,0,0
29,870.0,G04,7,29,169.8789,29,0,1,0,2.652945,0,0.000000,29,0,0,0
29,870.0,G16,9,29,95.3894,29,0,1,0,2.039991,0,0.000000,29,0,0,0
29,870.0,G26,10,29,144.4562,29,0,1,0,2.478459,0,0.000000,29,0,0,0
29,870.0,G27,11,29,180.6045,29,0,1,0,2.916683,0,0.000000,29,0,0,0
30,900.0,G01,5,30,180.5754,30,0,1,0,3.092107,0,0.000000,30,0,0,0
30,900.0,G03,6,30,93.5802,30,0,1,0,2.048396,0,0.000000,30,0,0,0
30,900.0,G04,7,30,161.0652,30,0,1,0,2.646716,0,0.000000,30,0,0,0
30,900.0,G16,9,30,90.6377,30,0,1,0,2.040541,0,0.000000,30,0,0,0
