SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,ISB_mm,CodeRMS_mm,PhsRMS_mm
1680.0,FWD,1337935.8276,6070317.9120,1427877.7043,1337935.5599,6070317.2377,1427877.5071,+267.713,+674.271,+197.169,-116.308,+30.757,+742.101,751.789,14,8,0,2.0909,0.0108,2.1017,+2808.626,1426.76,11.117
1710.0,FWD,1337935.8084,6070317.8973,1427877.6949,1337935.5599,6070317.2377,1427877.5071,+248.498,+659.646,+187.824,-100.691,+25.801,+722.051,729.494,14,8,0,2.0909,0.0108,2.1016,+2814.636,2343.39,19.249
1740.0,FWD,1337935.8045,6070317.9079,1427877.6969,1337935.5599,6070317.2377,1427877.5071,+244.611,+670.156,+189.760,-94.633,+25.564,+731.672,738.209,14,8,0,2.0909,0.0092,2.1001,+2802.813,1425.62,10.100
1770.0,FWD,1337935.7975,6070317.9048,1427877.6910,1337935.5599,6070317.2377,1427877.5071,+237.556,+667.143,+183.902,-88.392,+20.862,+726.006,731.665,14,8,0,2.0909,0.0092,2.1001,+2796.513,2025.98,11.290
1800.0,FWD,1337935.7999,6070317.8967,1427877.6868,1337935.5599,6070317.2377,1427877.5071,+239.971,+659.025,+179.732,-92.498,+18.468,+717.849,724.019,15,8,0,2.0909,0.0109,2.1017,+2798.973,2062.47,10.371
1830.0,FWD,1337935.7959,6070317.8950,1427877.6880,1337935.5599,6070317.2377,1427877.5071,+236.009,+657.263,+180.870,-89.008,+20.156,+715.597,721.393,15,8,0,2.0909,0.0108,2.1017,+2785.920,1783.43,8.247
1860.0,FWD,1337935.7901,6070317.8885,1427877.6836,1337935.5599,6070317.2377,1427877.5071,+230.201,+650.797,+176.546,-84.727,+17.648,+707.254,712.529,15,8,0,2.0909,0.0104,2.1013,+2788.073,2130.70,11.696
1890.0,FWD,1337935.7883,6070317.8817,1427877.6831,1337935.5599,6070317.2377,1427877.5071,+228.356,+644.013,+175.968,-84.387,+18.666,+700.281,705.594,15,8,0,2.0909,0.0090,2.0999,+2792.390,1412.96,8.462
1920.0,FWD,1337935.7774,6070317.8718,1427877.6809,1337935.5599,6070317.2377,1427877.5071,+217.473,+634.072,+173.829,-75.898,+19.298,+688.059,692.501,14,8,3,2.0909,0.0084,2.0992,+2797.381,1145.90,12.606
1950.0,FWD,1337935.7956,6070317.8707,1427877.6785,1337935.5599,6070317.2377,1427877.5071,+235.745,+633.015,+171.405,-93.969,+16.283,+690.339,696.895,13,8,3,2.0909,0.0057,2.0966,+2820.849,950.98,12.601
