epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
63,1890.0,-0.886616,0.426154,1.370753,-1066.4432,135.2423,62.7508,43.6518,2.1041,1.1755e+02,148.2331,109.1973,16.9553,6837.64,64.77,20000.00,72.3152,1871.6930
64,1920.0,-0.920436,0.390160,1.373727,-939.1071,136.2280,49.4796,127.3361,0.9857,1.1492e+02,146.3549,108.3868,16.9739,6797.42,63.67,20000.00,66.9327,1196.6358
65,1950.0,-0.921072,0.367440,1.373216,-839.6717,136.4043,22.7347,99.4354,0.1762,1.1241e+02,144.5863,107.5438,16.9939,5122.15,62.62,20000.00,46.3209,829.0747
66,1980.0,-0.921567,0.371402,1.357297,-1138.1745,134.7532,16.4121,298.5027,1.6511,1.0266e+02,143.0077,110.9731,17.0327,5105.30,61.79,20000.00,112.5141,1435.6227
67,2010.0,-0.918375,0.357033,1.350652,-1098.9910,136.4646,16.1497,39.1834,1.7115,1.0769e+02,141.3329,106.0146,17.0322,5093.10,60.80,20000.00,65.9185,1374.0900
68,2040.0,-0.944247,0.313797,1.344771,-954.5190,134.1486,50.7280,144.4720,2.3161,1.0611e+02,139.7099,105.0186,17.0301,5083.99,59.85,20000.00,46.9408,1840.5734
69,2070.0,-0.958866,0.338950,1.352290,-1074.2539,135.3615,30.0484,119.7350,1.2129,1.0426e+02,138.1353,104.1804,17.0250,5076.96,58.94,20000.00,86.2916,1664.2837
70,2100.0,-0.939081,0.370413,1.351936,-1012.9157,135.9651,37.1685,61.3382,0.6036,1.0250e+02,136.6066,103.3584,17.0171,5071.40,58.06,20000.00,63.3080,1384.9252
71,2130.0,-0.942782,0.393883,1.328273,-1125.8912,134.5968,33.5329,112.9755,1.3682,1.0083e+02,135.1211,102.5485,17.0065,5066.89,57.21,20000.00,84.5176,1536.1386
72,2160.0,-0.959775,0.393524,1.313386,-1171.5171,133.6559,22.5943,45.6259,0.9409,9.9376e+01,133.6405,101.7107,16.9855,7643.29,56.38,28284.27,37.9912,1230.2393
