SOD,sat,d_wl,wl_residual_raw,wl_residual_corrected,wl_std,wl_fixable_before,wl_fixable_after
13920,E02,0.082514,0.106676,0.024428,0.316084,1,1
13920,E03,-0.003745,0.039484,0.043764,0.378373,1,1
13950,E02,0.082791,0.108112,0.025598,0.315687,1,1
13950,E03,-0.003223,0.039238,0.042984,0.377244,1,1
13980,E02,0.083038,0.105788,0.022996,0.316191,1,1
13980,E03,-0.002707,0.039279,0.042502,0.376114,1,1
14010,E02,0.083282,0.105919,0.022881,0.315264,1,1
14010,E03,-0.002200,0.039296,0.042003,0.374993,1,1
14040,E02,0.083541,0.107643,0.024361,0.315143,1,1
14040,E03,-0.001701,0.039330,0.041531,0.373882,1,1
14070,E02,0.083834,0.111967,0.028426,0.319273,1,1
14070,E03,-0.001211,0.039152,0.040852,0.372788,1,1
14100,E02,0.084129,0.112533,0.028699,0.318435,1,1
14100,E03,-0.000735,0.038671,0.039882,0.371749,1,1
14130,E02,0.084441,0.114749,0.030620,0.318854,1,1
14130,E03,-0.000268,0.038585,0.039321,0.370668,1,1
14160,E02,0.084775,0.117743,0.033302,0.320386,1,1
14160,E03,0.000168,0.036680,0.036947,0.370440,1,1
14190,E02,0.085098,0.117048,0.032273,0.319607,1,1
14190,E03,0.000586,0.035796,0.035628,0.369557,1,1
14220,E02,0.085425,0.117774,0.032676,0.318848,1,1
14220,E03,0.001003,0.036240,0.035654,0.368546,1,1
14250,E02,0.085722,0.115411,0.029986,0.319502,1,1
14250,E03,0.001406,0.035605,0.034602,0.367593,1,1
14280,E02,0.086016,0.115425,0.029703,0.318608,1,1
14280,E03,0.001805,0.035779,0.034373,0.366561,1,1
14310,E02,0.086327,0.117732,0.031716,0.319217,1,1
14310,E03,0.002198,0.035766,0.033961,0.365530,1,1
14340,E02,0.086646,0.119022,0.032696,0.318805,1,1
14340,E03,0.002588,0.036088,0.033890,0.364533,1,1
14370,E02,0.086970,0.119867,0.033221,0.318131,1,1
14370,E03,0.002976,0.036302,0.033713,0.363530,1,1
14400,E02,0.087288,0.119621,0.032651,0.317278,1,1
14400,E03,0.003355,0.036132,0.033156,0.362531,1,1
14430,E02,0.087584,0.117761,0.030473,0.317413,1,1
14430,E03,0.003725,0.035822,0.032467,0.361558,1,1
14460,E02,0.087878,0.118046,0.030463,0.316578,1,1
14460,E03,0.004103,0.036974,0.033249,0.360903,1,1
14490,E02,0.088165,0.117482,0.029604,0.315819,1,1
14490,E03,0.004482,0.037632,0.033530,0.360032,1,1
14520,E02,0.088425,0.115260,0.027095,0.316429,1,1
14520,E03,0.004862,0.038261,0.033779,0.359158,1,1
14550,E02,0.088662,0.113356,0.024931,0.316658,1,1
14550,E03,0.005248,0.039297,0.034435,0.358469,1,1
14580,E02,0.088916,0.115562,0.026900,0.317265,1,1
14580,E03,0.005634,0.039794,0.034546,0.357573,1,1
