sod,sat,const,el_deg,wu_m,wu_ok,trop_zhd_m,tropo_ok,dtrel_m,rel_ok,shapiro_m,shp_ok,setm_m,set_ok,sat_apc_m,rec_apc_m,apc_ok,pcv_sat_m,pcv_rec_m,pcv_ok,sagnac_m,sag_ok,PASS
240.0,G03,G,62.5029,0.067177,1,2.3545,1,-4.317702,1,0.013134,1,-0.000002,1,-1.509861,-0.041362,1,0.023500,-0.009490,1,11.143476,1,1
240.0,G04,G,27.0373,0.056626,1,4.5741,1,2.438339,1,0.015393,1,-0.000001,1,-1.897391,-0.021226,1,0.042400,-0.008614,1,13.359536,1,1
240.0,G08,G,16.8637,-0.044119,1,7.1067,1,7.890251,1,0.016418,1,-0.000001,1,-1.352356,-0.013806,1,0.023500,-0.000478,1,-3.397413,1,1
240.0,G16,G,70.2692,-0.065420,1,2.2192,1,5.810827,1,0.012792,1,-0.000002,1,-1.383287,-0.042034,1,0.006400,-0.005705,1,-10.141868,1,1
240.0,G26,G,38.6629,0.034291,1,3.3377,1,-1.779044,1,0.014326,1,-0.000001,1,-1.367031,-0.026584,1,0.023500,-0.012779,1,-16.790756,1,1
240.0,G27,G,22.8943,-0.033163,1,5.3332,1,9.779749,1,0.015763,1,-0.000001,1,-1.336807,-0.016795,1,0.023500,-0.005913,1,-19.663524,1,1
240.0,G31,G,23.4832,0.034816,1,5.2087,1,-5.155139,1,0.015654,1,-0.000001,1,-0.817380,-0.016188,1,0.040600,-0.006366,1,-16.380418,1,1
270.0,E04,E,24.4779,0.005423,1,5.0122,1,0.101770,1,0.016606,1,-0.000001,1,-1.012859,-0.018589,1,-0.013862,-0.010441,1,-35.429481,1,1
270.0,E05,E,20.0729,0.060833,1,6.0313,1,-0.102393,1,0.017061,1,-0.000001,1,-1.083815,-0.018607,1,-0.015527,-0.007351,1,23.685555,1,1
270.0,E09,E,41.9781,0.045517,1,3.1188,1,-0.214683,1,0.015170,1,-0.000001,1,-0.994515,-0.032848,1,-0.015031,-0.014768,1,-8.800185,1,1
270.0,E16,E,64.1226,-0.052621,1,2.3214,1,0.069648,1,0.014052,1,-0.000002,1,-1.024123,-0.043897,1,-0.012545,-0.008669,1,-3.256284,1,1
270.0,G01,G,24.9952,-0.059774,1,4.9162,1,0.435810,1,0.015576,1,-0.000001,1,-1.911420,-0.021845,1,0.042400,-0.007529,1,24.301414,1,1
270.0,G03,G,62.6848,0.067252,1,2.3507,1,-4.321125,1,0.013127,1,-0.000002,1,-1.509983,-0.041432,1,0.023500,-0.009406,1,11.136310,1,1
270.0,G04,G,27.1640,0.056539,1,4.5547,1,2.441682,1,0.015381,1,-0.000001,1,-1.897467,-0.021307,1,0.042400,-0.008681,1,13.249267,1,1
270.0,G08,G,16.9840,-0.044023,1,7.0592,1,7.891493,1,0.016404,1,-0.000001,1,-1.352406,-0.013889,1,0.023500,-0.000601,1,-3.493819,1,1
270.0,G16,G,70.1995,-0.065819,1,2.2202,1,5.772984,1,0.012794,1,-0.000002,1,-1.383248,-0.042010,1,0.006400,-0.005738,1,-10.153045,1,1
270.0,G26,G,38.4553,0.034153,1,3.3528,1,-1.811428,1,0.014341,1,-0.000001,1,-1.366961,-0.026451,1,0.023500,-0.012733,1,-16.813153,1,1
270.0,G27,G,23.0005,-0.033031,1,5.3102,1,9.777463,1,0.015752,1,-0.000001,1,-1.336750,-0.016864,1,0.023500,-0.005995,1,-19.733328,1,1
270.0,G31,G,23.3474,0.034635,1,5.2368,1,-5.178805,1,0.015668,1,-0.000001,1,-0.817339,-0.016081,1,0.040600,-0.006262,1,-16.487672,1,1
