SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
630.0,G02,1176.9097,1765.3645,39.2303,47.0764,14.77,1917.68,173.63
630.0,G03,331.7094,497.5641,11.0570,13.2684,64.74,-252.28,156.82
630.0,G04,624.3689,936.5534,20.8123,24.9748,28.72,-619.02,164.04
630.0,G16,321.1570,481.7354,10.7052,12.8463,69.09,500.29,209.32
630.0,G26,510.9038,766.3557,17.0301,20.4362,35.96,667.84,152.90
630.0,G27,729.3878,1094.0817,24.3129,29.1755,24.29,-189.00,236.79
630.0,G31,809.5086,1214.2629,26.9836,32.3803,21.75,-260.21,68.22
660.0,G01,746.3792,1119.5688,24.8793,29.8552,23.70,-1212.90,-147.98
660.0,G03,331.2742,496.9113,11.0425,13.2510,64.90,23.75,-133.90
660.0,G04,621.7524,932.6286,20.7251,24.8701,28.85,-1270.47,-128.90
660.0,G16,321.4026,482.1039,10.7134,12.8561,68.97,221.10,-36.48
660.0,G26,513.4818,770.2227,17.1161,20.5393,35.75,650.49,-119.39
660.0,G27,726.3564,1089.5347,24.2119,29.0543,24.39,-1107.87,-30.69
660.0,G31,814.1424,1221.2135,27.1381,32.5657,21.62,274.88,-163.63
690.0,G01,749.3521,1124.0281,24.9784,29.9741,23.60,-342.65,-73.77
690.0,G03,330.8479,496.2718,11.0283,13.2339,65.06,240.83,-23.79
690.0,G04,619.1526,928.7290,20.6384,24.7661,28.98,-1445.65,-36.99
690.0,G16,321.6566,482.4849,10.7219,12.8663,68.86,271.98,68.23
690.0,G26,516.0930,774.1395,17.2031,20.6437,35.54,624.66,13.23
690.0,G27,723.3502,1085.0252,24.1117,28.9340,24.50,-1138.52,65.23
690.0,G31,818.8178,1228.2267,27.2939,32.7527,21.49,-178.29,-12.98
720.0,G01,752.3505,1128.5258,25.0784,30.0940,23.50,108.92,-247.69
720.0,G03,330.4306,495.6459,11.0144,13.2172,65.22,60.85,-162.00
720.0,G04,616.5696,924.8544,20.5523,24.6628,29.11,-996.26,-178.96
720.0,G16,321.9190,482.8785,10.7306,12.8768,68.73,-511.59,-64.77
720.0,G26,518.7380,778.1070,17.2913,20.7495,35.33,282.31,-160.25
720.0,G27,720.3688,1080.5531,24.0123,28.8148,24.61,-572.27,-113.00
720.0,G31,823.5355,1235.3032,27.4512,32.9414,21.36,-1068.85,-161.73
750.0,G01,755.3747,1133.0620,25.1792,30.2150,23.40,486.17,94.98
750.0,G03,330.0221,495.0332,11.0007,13.2009,65.37,412.47,194.09
750.0,G04,614.0032,921.0048,20.4668,24.5601,29.25,494.17,165.60
750.0,G16,322.1897,483.2846,10.7397,12.8876,68.61,-193.50,276.46
750.0,G26,521.4173,782.1259,17.3806,20.8567,35.12,372.95,188.83
750.0,G27,717.4121,1076.1181,23.9137,28.6965,24.72,655.07,249.14
750.0,G31,828.2958,1242.4436,27.6099,33.1318,21.23,340.84,155.67
780.0,G01,758.4248,1137.6371,25.2808,30.3370,23.30,282.58,-87.30
780.0,G03,329.6226,494.4339,10.9874,13.1849,65.52,99.15,25.40
780.0,G04,611.4533,917.1799,20.3818,24.4581,29.38,528.74,16.84
780.0,G16,322.4689,483.7034,10.7490,12.8988,68.49,312.85,72.70
780.0,G26,524.1313,786.1970,17.4710,20.9653,34.92,-394.82,9.21
780.0,G27,714.4800,1071.7200,23.8160,28.5792,24.83,142.57,120.17
780.0,G31,833.0992,1249.6488,27.7700,33.3240,21.11,888.71,-11.40
810.0,G01,761.5009,1142.2514,25.3834,30.4600,23.20,-1314.29,-348.21
810.0,G03,329.2318,493.8478,10.9744,13.1693,65.67,-235.16,-302.35
810.0,G04,608.9198,913.3797,20.2973,24.3568,29.52,-368.67,-297.22
810.0,G16,322.7565,484.1348,10.7586,12.9103,68.36,-495.33,-222.41
810.0,G26,526.8808,790.3211,17.5627,21.0752,34.71,-943.52,-296.13
810.0,G27,711.5723,1067.3585,23.7191,28.4629,24.94,339.02,-110.41
810.0,G31,837.9463,1256.9194,27.9315,33.5179,20.98,51.67,-309.90
840.0,G01,764.6033,1146.9049,25.4868,30.5841,23.10,-1520.65,90.84
840.0,G03,328.8499,493.2748,10.9617,13.1540,65.82,396.24,168.64
840.0,G04,606.4026,909.6039,20.2134,24.2561,29.65,96.98,143.51
840.0,G16,323.0526,484.5790,10.7684,12.9221,68.22,-354.77,239.92
