epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
492,14760.0,G08,G,3962.8816,-6.317727,0.0000,0.0000,30.885,20000.0000,nan,nan,1,0,142
493,14790.0,E16,E,12714.8623,22.719422,0.0000,0.0000,23.381,20000.0000,nan,nan,1,0,143
493,14790.0,G08,G,4019.9729,-6.287930,0.0000,0.0000,30.684,20000.0000,nan,nan,1,0,144
494,14820.0,E16,E,12795.1430,22.580806,0.0000,0.0000,23.264,20000.0000,nan,nan,1,0,145
494,14820.0,G08,G,4075.2849,-6.279391,0.0000,0.0000,30.484,20000.0000,nan,nan,1,0,146
495,14850.0,G08,G,4132.8043,-6.129946,0.0000,0.0000,30.283,20000.0000,nan,nan,1,0,147
496,14880.0,E16,E,12914.7203,22.544012,0.0000,0.0000,23.029,20000.0000,nan,1.0000,2,0,148
496,14880.0,G08,G,4192.6327,-6.268041,0.0000,0.0000,30.082,20000.0000,nan,nan,1,0,149
497,14910.0,E16,E,12983.1465,22.467564,0.0000,0.0000,22.912,20000.0000,nan,nan,1,0,150
497,14910.0,G08,G,4252.4324,-6.718929,0.0000,0.0000,29.880,20000.0000,nan,nan,1,0,151
498,14940.0,E16,E,13045.0979,22.613052,0.0000,0.0000,22.796,20000.0000,nan,nan,1,0,152
498,14940.0,G08,G,4309.3842,-6.753170,0.0000,0.0000,29.679,20000.0000,nan,nan,1,0,153
499,14970.0,E16,E,13121.3494,22.670096,0.0000,0.0000,22.680,20000.0000,nan,nan,1,0,154
499,14970.0,G08,G,4363.1834,-6.533749,0.0000,0.0000,29.478,20000.0000,nan,nan,1,0,155
500,15000.0,E16,E,13208.5254,22.687817,0.0000,0.0000,22.565,20000.0000,nan,nan,1,0,156
500,15000.0,G08,G,4417.3885,-6.592630,0.0000,0.0000,29.277,20000.0000,nan,nan,1,0,157
