epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
168,5040.0,G03,DEGRADED,4050.0,0,1,0.258763,-28.676,57.401,1,0
168,5040.0,G04,DEGRADED,4050.0,0,1,0.238215,-25.901,52.436,1,0
168,5040.0,G07,DEGRADED,1890.0,0,1,0.294791,-0.265,19.292,1,4
169,5070.0,G03,DEGRADED,4080.0,1,0,0.258763,241.874,57.199,1,0
169,5070.0,G04,DEGRADED,4080.0,1,0,0.238215,234.215,52.622,1,0
169,5070.0,G07,DEGRADED,1920.0,1,0,0.294791,248.756,19.338,1,4
170,5100.0,G03,DEGRADED,4110.0,2,0,0.258763,372.192,56.996,1,0
170,5100.0,G04,DEGRADED,4110.0,2,0,0.238215,368.934,52.807,1,0
170,5100.0,G07,DEGRADED,1950.0,2,0,0.294791,365.710,19.384,1,4
171,5130.0,G03,DEGRADED,4140.0,3,0,0.258531,224.074,56.793,1,0
171,5130.0,G04,DEGRADED,4140.0,3,0,0.238207,220.138,52.993,1,0
171,5130.0,G07,DEGRADED,1980.0,3,0,0.294153,196.229,19.431,1,4
172,5160.0,G03,DEGRADED,4170.0,0,1,0.248081,-43.448,56.590,1,0
172,5160.0,G04,DEGRADED,4170.0,0,1,0.229915,-29.394,53.178,1,0
172,5160.0,G07,DEGRADED,2010.0,0,1,0.281170,-76.904,19.477,1,4
173,5190.0,G03,DEGRADED,4200.0,0,2,0.239270,-9.841,56.386,1,0
173,5190.0,G04,DEGRADED,4200.0,0,2,0.222454,-12.713,53.364,1,0
173,5190.0,G07,DEGRADED,2040.0,0,2,0.270587,-32.721,19.523,1,4
174,5220.0,G03,DEGRADED,4230.0,0,3,0.231556,-5.126,56.182,1,0
174,5220.0,G04,DEGRADED,4230.0,0,3,0.215682,-6.001,53.550,1,0
174,5220.0,G07,DEGRADED,2070.0,0,3,0.261535,-23.516,19.569,1,4
175,5250.0,G03,DEGRADED,4260.0,0,4,0.224660,-2.172,55.977,1,0
175,5250.0,G04,DEGRADED,4260.0,0,4,0.209493,-3.147,53.736,1,0
175,5250.0,G07,DEGRADED,2100.0,0,4,0.253570,-1.858,19.615,1,4
176,5280.0,G03,DEGRADED,4290.0,0,5,0.218412,-10.248,55.771,1,0
176,5280.0,G04,DEGRADED,4290.0,0,5,0.203807,-7.010,53.923,1,0
176,5280.0,G07,DEGRADED,2130.0,0,5,0.246430,-21.284,19.661,1,4
177,5310.0,G03,DEGRADED,4320.0,0,6,0.213077,-8.540,55.566,1,0
177,5310.0,G04,DEGRADED,4320.0,0,6,0.198601,-7.257,54.109,1,0
177,5310.0,G07,DEGRADED,2160.0,0,6,0.241344,-12.295,19.707,1,4
178,5340.0,G03,DEGRADED,4350.0,1,0,0.212980,-195.318,55.360,1,0
178,5340.0,G04,DEGRADED,4350.0,1,0,0.198599,-198.334,54.296,1,0
178,5340.0,G07,DEGRADED,2190.0,1,0,0.241051,-179.371,19.753,1,4
179,5370.0,G03,DEGRADED,4380.0,2,0,0.212980,198.470,55.153,1,0
179,5370.0,G04,DEGRADED,4380.0,2,0,0.198599,202.882,54.482,1,0
179,5370.0,G07,DEGRADED,2220.0,2,0,0.241051,233.761,19.799,1,4
180,5400.0,G03,DEGRADED,4410.0,0,1,0.207456,0.606,54.946,1,0
180,5400.0,G04,DEGRADED,4410.0,0,1,0.193696,7.995,54.669,1,0
180,5400.0,G07,DEGRADED,2250.0,0,1,0.234320,28.815,19.845,1,4
181,5430.0,G03,DEGRADED,4440.0,0,2,0.203140,-40.672,54.739,1,0
181,5430.0,G04,DEGRADED,4440.0,0,2,0.189205,-37.407,54.856,1,0
181,5430.0,G07,DEGRADED,2280.0,0,2,0.230297,1.602,19.891,1,4
182,5460.0,G03,DEGRADED,4470.0,1,0,0.203140,398.513,54.531,1,0
182,5460.0,G04,DEGRADED,4470.0,1,0,0.189205,418.152,55.043,1,0
182,5460.0,G07,DEGRADED,2310.0,1,0,0.230297,463.766,19.937,1,4
183,5490.0,G03,DEGRADED,4500.0,2,0,0.203140,351.977,54.323,1,0
183,5490.0,G04,DEGRADED,4500.0,2,0,0.189205,373.230,55.229,1,0
183,5490.0,G07,DEGRADED,2340.0,2,0,0.230297,396.668,19.983,1,4
184,5520.0,G03,DEGRADED,4530.0,0,1,0.198732,5.508,54.115,1,0
184,5520.0,G04,DEGRADED,4530.0,0,1,0.184992,21.839,55.416,1,0
184,5520.0,G07,DEGRADED,2370.0,0,1,0.226064,40.189,20.029,1,4
185,5550.0,G03,DEGRADED,4560.0,0,2,0.193935,6.131,53.906,1,0
185,5550.0,G04,DEGRADED,4560.0,0,2,0.180963,26.917,55.604,1,0
185,5550.0,G07,DEGRADED,2400.0,0,2,0.219609,22.110,20.075,1,4
186,5580.0,G03,DEGRADED,4590.0,0,3,0.189568,6.323,53.697,1,0
186,5580.0,G04,DEGRADED,4590.0,0,3,0.177194,27.548,55.791,1,0
186,5580.0,G07,DEGRADED,2430.0,0,3,0.213953,21.173,20.121,1,4
187,5610.0,G03,DEGRADED,4620.0,0,4,0.186232,2.850,53.488,1,0
