SOD,sat,arc_age,slip_detected,dGF_m,dMW_cyc,WL_before,WL_after,WL_jump,NL_fixed_before,NL_fixed_after,N1_before,N1_after,N2_before,N2_after,iono_before,iono_after,phase_rms_L1_mm,phase_rms_L2_mm,fallback_used,primary_signal_pair,osb_signal_pair,missing_prev_epoch,epochs_since_last_obs,mw_buffer_std,gf_consistency_triggered,iono_health_gate_triggered,reset_path,event_type
15750.0,E09,526,0,,,-9,-9,0,0,0,93.4563,93.4459,111.2968,111.2866,15.4738,15.4503,818.0111,1358.2614,0,C1C/L1C,C1C/L1C,0,,0.2192,0,0,NONE,L2_RMS_SPIKE
15750.0,E16,526,0,,,22,22,0,0,0,23.7299,23.7252,10.7036,10.6987,15.9110,15.9905,726.9019,1289.2258,0,C1C/L1C,C1C/L1C,0,,0.1786,0,0,NONE,L2_RMS_SPIKE
15780.0,E09,527,0,,,-9,-9,0,0,0,93.4459,93.4357,111.2866,111.2767,15.4503,15.4708,901.7302,1462.1141,0,C1C/L1C,C1C/L1C,0,,0.2193,0,0,NONE,L2_RMS_SPIKE
15780.0,E16,527,0,,,22,22,0,0,0,23.7252,23.7198,10.6987,10.6934,15.9905,16.0579,814.6347,1396.6295,0,C1C/L1C,C1C/L1C,0,,0.1793,0,0,NONE,L2_RMS_SPIKE
15810.0,E09,528,0,,,-9,-9,0,0,0,93.4357,93.4221,111.2767,111.2644,15.4708,15.4668,803.6334,1383.2095,0,C1C/L1C,C1C/L1C,0,,0.2192,0,0,NONE,L2_RMS_SPIKE
15810.0,E16,528,0,,,22,22,0,0,0,23.7198,23.7124,10.6934,10.6866,16.0579,16.1430,706.7276,1312.5214,0,C1C/L1C,C1C/L1C,0,,0.1792,0,0,NONE,L2_RMS_SPIKE
15840.0,G08,5,1,0.0665,0.4275,,,,0,0,13.2530,13.2530,12.8729,12.8729,12.9250,12.9250,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.2532,0,0,MW_GF_SLIP,SLIP
15840.0,E09,529,0,,,-9,-9,0,0,0,93.4221,93.4168,111.2644,111.2587,15.4668,15.4585,851.4858,1489.7707,0,C1C/L1C,C1C/L1C,0,,0.2196,0,0,NONE,L2_RMS_SPIKE
15840.0,E16,529,0,,,22,22,0,0,0,23.7124,23.7104,10.6866,10.6843,16.1430,16.2431,728.7543,1349.3619,0,C1C/L1C,C1C/L1C,0,,0.1803,0,0,NONE,L2_RMS_SPIKE
15870.0,E09,530,0,,,-9,-9,0,0,0,93.4168,93.4143,111.2587,111.2561,15.4585,15.5481,877.7159,1529.3866,0,C1C/L1C,C1C/L1C,0,,0.2194,0,0,NONE,L2_RMS_SPIKE
15870.0,E16,530,0,,,22,22,0,0,0,23.7104,23.7099,10.6843,10.6837,16.2431,16.3730,719.3852,1344.2216,0,C1C/L1C,C1C/L1C,0,,0.1802,0,0,NONE,L2_RMS_SPIKE
15900.0,E09,531,0,,,-9,-9,0,0,0,93.4143,93.4096,111.2561,111.2513,15.5481,15.5870,1004.2548,1633.9911,0,C1C/L1C,C1C/L1C,0,,0.2193,0,0,NONE,L2_RMS_SPIKE
15900.0,E16,531,0,,,22,22,0,0,0,23.7099,23.7085,10.6837,10.6821,16.3730,16.4841,839.5411,1442.9658,0,C1C/L1C,C1C/L1C,0,,0.1803,0,0,NONE,L2_RMS_SPIKE
15930.0,G08,3,1,0.0822,-0.5793,,,,0,0,10.7840,10.7840,9.7313,9.7313,12.8842,12.8842,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.0503,0,0,MW_GF_SLIP,SLIP
