SOD,sat,old_I_m,new_I_m,trigger,used_ionex,VTEC,sigma_new_m
83580.0,G31,-2.4201,1.6424,neg(-2.420m),1,6.878,3.000
83610.0,G03,-2.4012,1.5635,neg(-2.401m),1,6.988,3.000
83610.0,G16,-2.1815,1.3350,neg(-2.182m),1,7.374,3.000
83610.0,G26,-2.1378,1.3841,neg(-2.138m),1,7.277,3.000
83610.0,G31,-2.2445,1.6468,neg(-2.244m),1,6.876,3.000
83640.0,G03,-2.3576,1.5599,neg(-2.358m),1,6.995,3.000
83640.0,G16,-2.2073,1.3334,neg(-2.207m),1,7.376,3.000
83640.0,G26,-2.3141,1.3856,neg(-2.314m),1,7.274,3.000
83640.0,G31,-2.3136,1.6512,neg(-2.314m),1,6.875,3.000
83670.0,G03,-2.3101,1.5564,neg(-2.310m),1,7.002,3.000
83670.0,G16,-2.0387,1.3318,neg(-2.039m),1,7.379,3.000
83670.0,G26,-2.4037,1.3870,neg(-2.404m),1,7.271,3.000
83670.0,G31,-2.3381,1.6555,neg(-2.338m),1,6.873,3.000
83700.0,G03,-2.2632,1.5528,neg(-2.263m),1,7.008,3.000
83700.0,G16,-2.0818,1.3304,neg(-2.082m),1,7.382,3.000
83700.0,G26,-2.1097,1.3885,neg(-2.110m),1,7.269,3.000
83700.0,G31,-2.4021,1.6599,neg(-2.402m),1,6.872,3.000
83730.0,G03,-2.4037,1.5493,neg(-2.404m),1,7.014,3.000
83730.0,G16,-2.2563,1.3289,neg(-2.256m),1,7.384,3.000
83730.0,G26,-2.0327,1.3900,neg(-2.033m),1,7.266,3.000
83730.0,G31,-2.3453,1.6644,neg(-2.345m),1,6.870,3.000
83760.0,G03,-2.3926,1.5458,neg(-2.393m),1,7.021,3.000
83760.0,G16,-2.1579,1.3275,neg(-2.158m),1,7.387,3.000
83760.0,G26,-2.0624,1.3916,neg(-2.062m),1,7.263,3.000
83760.0,G31,-2.3615,1.6688,neg(-2.362m),1,6.869,3.000
83790.0,G03,-2.1906,1.5423,neg(-2.191m),1,7.027,3.000
83790.0,G16,-2.1857,1.3261,neg(-2.186m),1,7.390,3.000
83790.0,G26,-2.0480,1.3932,neg(-2.048m),1,7.260,3.000
83790.0,G31,-2.3538,1.6732,neg(-2.354m),1,6.867,3.000
83820.0,G03,-2.0284,1.5388,neg(-2.028m),1,7.033,3.000
83820.0,G16,-2.1884,1.3247,neg(-2.188m),1,7.393,3.000
83820.0,G26,-2.1567,1.3948,neg(-2.157m),1,7.256,3.000
83820.0,G31,-2.2267,1.6777,neg(-2.227m),1,6.866,3.000
83850.0,G03,-2.1289,1.5354,neg(-2.129m),1,7.039,3.000
83850.0,G16,-2.1101,1.3233,neg(-2.110m),1,7.395,3.000
83850.0,G26,-2.1881,1.3964,neg(-2.188m),1,7.253,3.000
83850.0,G31,-2.1784,1.6822,neg(-2.178m),1,6.864,3.000
83880.0,G03,-2.2286,1.5319,neg(-2.229m),1,7.045,3.000
83880.0,G16,-2.2104,1.3219,neg(-2.210m),1,7.398,3.000
83880.0,G26,-2.2396,1.3981,neg(-2.240m),1,7.250,3.000
83880.0,G31,-2.1581,1.6867,neg(-2.158m),1,6.862,3.000
83910.0,G03,-2.1444,1.5285,neg(-2.144m),1,7.051,3.000
83910.0,G16,-2.1112,1.3206,neg(-2.111m),1,7.400,3.000
83910.0,G26,-2.2324,1.3997,neg(-2.232m),1,7.247,3.000
83910.0,G31,-2.1831,1.6912,neg(-2.183m),1,6.861,3.000
83940.0,G03,-2.1574,1.5251,neg(-2.157m),1,7.057,3.000
83940.0,G16,-2.2358,1.3192,neg(-2.236m),1,7.403,3.000
83940.0,G26,-2.1723,1.4015,neg(-2.172m),1,7.244,3.000
83940.0,G31,-2.1144,1.6957,neg(-2.114m),1,6.859,3.000
83970.0,G03,-2.1950,1.5217,neg(-2.195m),1,7.063,3.000
83970.0,G16,-2.2073,1.3179,neg(-2.207m),1,7.405,3.000
83970.0,G26,-2.2327,1.4032,neg(-2.233m),1,7.241,3.000
84000.0,G03,-2.2454,1.5183,neg(-2.245m),1,7.068,3.000
84000.0,G16,-2.0496,1.3166,neg(-2.050m),1,7.407,3.000
84000.0,G26,-2.2403,1.4050,neg(-2.240m),1,7.238,3.000
84000.0,G31,-2.0849,1.7047,neg(-2.085m),1,6.856,3.000
84030.0,G03,-2.2828,1.5150,neg(-2.283m),1,7.074,3.000
84030.0,G16,-2.2408,1.3153,neg(-2.241m),1,7.410,3.000
