epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
166,5250.0,E16,DEGRADED,4980.0,0,1,5.000000,-78.399,77.727,1,0
166,5250.0,E25,DEGRADED,3720.0,5,0,5.000000,-181.400,49.196,1,0
167,5280.0,E09,DEGRADED,5010.0,0,2,5.000000,-26.208,51.832,1,0
167,5280.0,E16,DEGRADED,5010.0,0,2,5.000000,28.503,77.527,1,0
167,5280.0,E25,DEGRADED,3750.0,0,1,5.000000,-77.513,49.359,1,0
168,5310.0,E09,DEGRADED,5040.0,1,0,5.000000,-186.709,51.870,1,0
168,5310.0,E16,DEGRADED,5040.0,0,3,5.000000,-128.950,77.328,1,0
168,5310.0,E25,DEGRADED,3780.0,1,0,5.000000,-234.581,49.521,1,0
169,5340.0,E09,DEGRADED,5070.0,2,0,5.000000,-343.531,51.907,1,0
169,5340.0,E16,DEGRADED,5070.0,1,0,5.000000,-284.252,77.128,1,0
169,5340.0,E25,DEGRADED,3810.0,2,0,5.000000,-386.662,49.682,1,0
170,5370.0,E09,DEGRADED,5100.0,0,1,5.000000,57.269,51.944,1,0
170,5370.0,E16,DEGRADED,5100.0,0,1,5.000000,113.777,76.928,1,0
170,5370.0,E25,DEGRADED,3840.0,0,1,5.000000,7.324,49.843,1,0
171,5400.0,E09,DEGRADED,5130.0,0,2,5.000000,-138.442,51.981,1,0
171,5400.0,E16,DEGRADED,5130.0,0,2,5.000000,-89.693,76.727,1,0
171,5400.0,E25,DEGRADED,3870.0,1,0,5.000000,-190.595,50.004,1,0
172,5430.0,E09,DEGRADED,5160.0,1,0,5.000000,-313.158,52.016,1,0
172,5430.0,E16,DEGRADED,5160.0,1,0,5.000000,-259.998,76.526,1,0
172,5430.0,E25,DEGRADED,3900.0,2,0,5.000000,-361.008,50.165,1,0
173,5460.0,E09,DEGRADED,5190.0,0,1,5.000000,137.224,52.052,1,0
173,5460.0,E16,DEGRADED,5190.0,2,0,5.000000,188.453,76.324,1,0
173,5460.0,E25,DEGRADED,3930.0,0,1,5.000000,95.072,50.325,1,0
174,5490.0,E09,DEGRADED,5220.0,0,2,5.000000,88.349,52.086,1,0
174,5490.0,E16,DEGRADED,5220.0,0,1,5.000000,142.047,76.123,1,0
174,5490.0,E25,DEGRADED,3960.0,0,2,5.000000,48.853,50.484,1,0
175,5520.0,E09,DEGRADED,5250.0,0,3,5.000000,-116.949,52.120,1,0
175,5520.0,E16,DEGRADED,5250.0,0,2,5.000000,-67.761,75.921,1,0
175,5520.0,E25,DEGRADED,3990.0,1,0,5.000000,-169.637,50.643,1,0
176,5550.0,E09,DEGRADED,5280.0,0,4,5.000000,-127.299,52.153,1,0
176,5550.0,E16,DEGRADED,5280.0,0,3,5.000000,-77.024,75.719,1,0
176,5550.0,E25,DEGRADED,4020.0,2,0,5.000000,-179.223,50.802,1,0
177,5580.0,E09,DEGRADED,5310.0,1,0,5.000000,-190.611,52.186,1,0
177,5580.0,E16,DEGRADED,5310.0,0,4,5.000000,-134.995,75.516,1,0
177,5580.0,E25,DEGRADED,4050.0,3,0,5.000000,-234.152,50.960,1,0
178,5610.0,E09,DEGRADED,5340.0,0,1,5.000000,-36.300,52.218,1,0
178,5610.0,E16,DEGRADED,5340.0,0,5,5.000000,20.480,75.313,1,0
178,5610.0,E25,DEGRADED,4080.0,0,1,5.000000,-84.542,51.118,1,0
179,5640.0,E09,DEGRADED,5370.0,0,2,5.000000,64.411,52.250,1,0
179,5640.0,E16,DEGRADED,5370.0,0,6,5.000000,121.625,75.111,1,0
179,5640.0,E25,DEGRADED,4110.0,0,2,5.000000,20.980,51.276,1,0
180,5670.0,E09,DEGRADED,5400.0,0,3,5.000000,-49.704,52.280,1,0
180,5670.0,E16,DEGRADED,5400.0,0,7,5.000000,11.377,74.908,1,0
180,5670.0,E25,DEGRADED,4140.0,0,3,5.000000,-97.821,51.433,1,0
181,5700.0,E09,DEGRADED,5430.0,1,0,5.000000,-260.536,52.311,1,0
181,5700.0,E16,DEGRADED,5430.0,1,0,5.000000,-201.560,74.704,1,0
181,5700.0,E25,DEGRADED,4170.0,1,0,5.000000,-312.402,51.589,1,0
182,5730.0,E09,DEGRADED,5460.0,2,0,5.000000,251.166,52.340,1,0
182,5730.0,E16,DEGRADED,5460.0,2,0,5.000000,315.778,74.501,1,0
182,5730.0,E25,DEGRADED,4200.0,2,0,5.000000,205.085,51.745,1,0
183,5760.0,E09,DEGRADED,5490.0,3,0,5.000000,-507.475,52.369,1,0
183,5760.0,E16,DEGRADED,5490.0,3,0,5.000000,-445.186,74.298,1,0
183,5760.0,E25,DEGRADED,4230.0,3,0,5.000000,-557.840,51.901,1,0
184,5790.0,E09,DEGRADED,5520.0,4,0,5.000000,198.116,52.397,1,0
184,5790.0,E16,DEGRADED,5520.0,4,0,5.000000,259.730,74.094,1,0
184,5790.0,E25,DEGRADED,4260.0,0,1,5.000000,145.549,52.056,1,0
185,5820.0,E09,DEGRADED,5550.0,0,1,5.000000,-111.728,52.425,1,0
185,5820.0,E16,DEGRADED,5550.0,0,1,5.000000,-45.843,73.890,1,0
185,5820.0,E25,DEGRADED,4290.0,1,0,5.000000,-159.849,52.210,1,0
186,5850.0,E09,DEGRADED,5580.0,0,2,5.000000,-43.404,52.451,1,0
186,5850.0,E16,DEGRADED,5580.0,0,2,5.000000,22.908,73.687,1,0
186,5850.0,E25,DEGRADED,4320.0,0,1,5.000000,-100.828,52.364,1,0
187,5880.0,E09,DEGRADED,5610.0,0,3,5.000000,102.001,52.477,1,0
187,5880.0,E16,DEGRADED,5610.0,1,0,5.000000,168.990,73.483,1,0
187,5880.0,E25,DEGRADED,4350.0,0,2,5.000000,44.760,52.518,1,0
188,5910.0,E09,DEGRADED,5640.0,1,0,5.000000,-213.614,52.503,1,0
188,5910.0,E16,DEGRADED,5640.0,0,1,5.000000,-141.218,73.279,1,0
188,5910.0,E25,DEGRADED,4380.0,1,0,5.000000,-268.304,52.671,1,0
189,5940.0,E09,DEGRADED,5670.0,2,0,5.000000,-368.907,52.528,1,0
189,5940.0,E16,DEGRADED,5670.0,1,0,5.000000,-302.818,73.075,1,0
189,5940.0,E25,DEGRADED,4410.0,2,0,5.000000,-428.012,52.824,1,0
190,5970.0,E09,DEGRADED,5700.0,3,0,5.000000,-527.858,52.552,1,0
190,5970.0,E16,DEGRADED,5700.0,2,0,5.000000,-452.881,72.871,1,0
190,5970.0,E25,DEGRADED,4440.0,3,0,5.000000,-576.231,52.976,1,0
191,6000.0,E09,DEGRADED,5730.0,0,1,5.000000,-145.159,52.575,1,0
191,6000.0,E16,DEGRADED,5730.0,0,1,5.000000,-73.735,72.667,1,0
191,6000.0,E25,DEGRADED,4470.0,4,0,5.000000,-198.720,53.127,1,0
192,6030.0,E09,DEGRADED,5760.0,1,0,5.000000,-311.228,52.598,1,0
192,6030.0,E16,DEGRADED,5760.0,1,0,5.000000,-243.576,72.463,1,0
192,6030.0,E25,DEGRADED,4500.0,5,0,5.000000,-373.539,53.278,1,0
193,6060.0,E09,DEGRADED,5790.0,2,0,5.000000,-316.505,52.619,1,0
193,6060.0,E16,DEGRADED,5790.0,2,0,5.000000,-249.275,72.259,1,0
193,6060.0,E25,DEGRADED,4530.0,6,0,5.000000,-378.154,53.428,1,0
194,6090.0,E09,DEGRADED,5820.0,0,1,5.000000,51.071,52.641,1,0
194,6090.0,E16,DEGRADED,5820.0,0,1,5.000000,124.602,72.055,1,0
194,6090.0,E25,DEGRADED,4560.0,0,1,5.000000,-9.391,53.578,1,0
