SOD,sat,epochs_since_entry,old_I_state,GF_measured,GF_test_skipped,skip_reason,reset_triggered,trigger_reason
47790.0,G23,0,0.0000,13.2621,1,old_I_zero,0,guarded
47790.0,G29,0,0.0000,10.7694,1,old_I_zero,0,guarded
47820.0,G18,0,0.0000,20.8362,1,old_I_zero,0,guarded
47880.0,G23,0,0.0000,13.3301,1,old_I_zero,0,guarded
47880.0,G29,0,0.0000,10.8931,1,old_I_zero,0,guarded
47970.0,G29,0,0.0000,11.4975,1,old_I_zero,0,guarded
48030.0,G18,0,0.0000,20.0062,1,old_I_zero,0,guarded
48090.0,G29,0,0.0000,10.7416,1,old_I_zero,0,guarded
48150.0,G18,0,0.0000,19.6275,1,old_I_zero,0,guarded
48150.0,G23,0,0.0000,11.4830,1,old_I_zero,0,guarded
48180.0,G29,0,0.0000,9.7230,1,old_I_zero,0,guarded
48240.0,G18,0,0.0000,18.5887,1,old_I_zero,0,guarded
48270.0,G29,0,0.0000,9.3010,1,old_I_zero,0,guarded
48390.0,G18,0,0.0000,19.6846,1,old_I_zero,0,guarded
48420.0,G29,0,0.0000,8.9671,1,old_I_zero,0,guarded
48480.0,G23,0,0.0000,11.7627,1,old_I_zero,0,guarded
48510.0,G29,0,0.0000,9.6410,1,old_I_zero,0,guarded
48540.0,G18,0,0.0000,19.2951,1,old_I_zero,0,guarded
48600.0,G23,0,0.0000,12.4753,1,old_I_zero,0,guarded
48600.0,G29,0,0.0000,10.2485,1,old_I_zero,0,guarded
48660.0,G18,0,0.0000,19.0973,1,old_I_zero,0,guarded
48690.0,G23,0,0.0000,11.4258,1,old_I_zero,0,guarded
48780.0,G18,0,0.0000,17.5979,1,old_I_zero,0,guarded
48870.0,G23,0,0.0000,11.6205,1,old_I_zero,0,guarded
48930.0,G18,0,0.0000,16.0305,1,old_I_zero,0,guarded
48960.0,G23,0,0.0000,9.4720,1,old_I_zero,0,guarded
49050.0,G23,0,0.0000,10.1397,1,old_I_zero,0,guarded
49110.0,G18,0,0.0000,17.3954,1,old_I_zero,0,guarded
49170.0,G23,0,0.0000,10.6622,1,old_I_zero,0,guarded
49290.0,G18,0,0.0000,15.7987,1,old_I_zero,0,guarded
49380.0,G18,0,0.0000,15.3752,1,old_I_zero,0,guarded
49560.0,G18,0,0.0000,15.3612,1,old_I_zero,0,guarded
49680.0,G18,0,0.0000,14.4709,1,old_I_zero,0,guarded
49800.0,G18,0,0.0000,14.6780,1,old_I_zero,0,guarded
49890.0,G18,0,0.0000,13.9639,1,old_I_zero,0,guarded
50580.0,G18,0,0.0000,12.1322,1,old_I_zero,0,guarded
52890.0,G10,0,0.0000,8.9420,1,old_I_zero,0,guarded
