SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,NL_genuine,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
2280.0,BWD,1337935.7793,6070317.2392,1427877.5003,1337935.5599,6070317.2377,1427877.5071,+219.422,+1.520,-6.777,-213.952,-17.578,+45.933,219.532,5,11,8,0,2.0909,0.0955,2.1864,1323.79,3.540
2310.0,BWD,1337935.7791,6070317.2393,1427877.5009,1337935.5599,6070317.2377,1427877.5071,+219.239,+1.642,-6.245,-213.747,-17.078,+46.131,219.334,5,11,8,0,2.0909,0.0958,2.1867,1421.19,5.222
2340.0,BWD,1337935.7788,6070317.2392,1427877.5008,1337935.5599,6070317.2377,1427877.5071,+218.922,+1.487,-6.338,-213.471,-17.119,+45.896,219.019,5,11,8,0,2.0909,0.0958,2.1866,1095.13,12.150
2370.0,BWD,1337935.7790,6070317.2389,1427877.5012,1337935.5599,6070317.2377,1427877.5071,+219.104,+1.177,-5.926,-213.715,-16.658,+45.732,219.187,5,11,8,0,2.0909,0.0954,2.1862,427.74,6.973
2400.0,BWD,1337935.7798,6070317.2390,1427877.5017,1337935.5599,6070317.2377,1427877.5071,+219.911,+1.303,-5.422,-214.476,-16.234,+46.135,219.982,5,11,8,0,2.0909,0.0951,2.1860,716.78,8.723
2430.0,BWD,1337935.7809,6070317.2394,1427877.5022,1337935.5599,6070317.2377,1427877.5071,+220.960,+1.665,-4.867,-215.423,-15.824,+46.824,221.020,5,11,8,0,2.0909,0.0949,2.1857,648.12,10.873
2460.0,BWD,1337935.7813,6070317.2395,1427877.5032,1337935.5599,6070317.2377,1427877.5071,+221.418,+1.761,-3.919,-215.849,-14.944,+47.225,221.460,5,11,8,0,2.0909,0.0949,2.1857,981.54,7.546
2490.0,BWD,1337935.7814,6070317.2400,1427877.5032,1337935.5599,6070317.2377,1427877.5071,+221.459,+2.326,-3.932,-215.768,-15.082,+47.769,221.506,5,11,8,0,2.0909,0.0954,2.1863,673.45,5.210
2520.0,BWD,1337935.7814,6070317.2403,1427877.5040,1337935.5599,6070317.2377,1427877.5071,+221.480,+2.577,-3.132,-215.734,-14.360,+48.192,221.517,5,11,8,0,2.0909,0.0958,2.1867,484.59,8.672
2550.0,BWD,1337935.7809,6070317.2400,1427877.5056,1337935.5599,6070317.2377,1427877.5071,+220.989,+2.341,-1.508,-215.305,-12.702,+48.230,221.007,5,11,8,0,2.0909,0.0961,2.1870,1679.53,8.433
2580.0,BWD,1337935.7803,6070317.2401,1427877.5072,1337935.5599,6070317.2377,1427877.5071,+220.404,+2.373,+0.142,-214.727,-11.073,+48.510,220.417,5,11,8,0,2.0909,0.0965,2.1874,1221.70,9.552
2610.0,BWD,1337935.7799,6070317.2404,1427877.5091,1337935.5599,6070317.2377,1427877.5071,+219.997,+2.656,+2.000,-214.268,-9.305,+49.112,220.022,5,11,8,0,2.0909,0.0971,2.1879,1100.49,9.542
2640.0,BWD,1337935.7795,6070317.2405,1427877.5108,1337935.5599,6070317.2377,1427877.5071,+219.587,+2.823,+3.726,-213.832,-7.640,+49.574,219.636,5,11,8,0,2.0909,0.0975,2.1884,536.11,7.295
