SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
80550.0,FWD,-13.625,-3.330,-66.141,67.612,12,4,0,0.1395,2007.10,307.732
80580.0,FWD,-12.691,-4.765,-65.168,66.563,12,4,0,0.1391,2088.38,120.451
80610.0,FWD,-12.704,-4.760,-65.105,66.503,12,4,0,0.1390,2044.54,225.330
80640.0,FWD,-12.719,-4.752,-65.041,66.444,12,4,0,0.1390,1787.97,229.404
80670.0,FWD,-12.735,-4.742,-64.978,66.384,12,4,0,0.1389,2193.04,330.717
80700.0,FWD,-12.749,-4.734,-64.914,66.323,12,4,0,0.1389,2059.92,242.202
80730.0,FWD,-12.767,-4.726,-64.855,66.269,12,4,0,0.1388,2243.98,223.121
80760.0,FWD,-12.788,-4.718,-64.798,66.216,12,4,0,0.1388,2435.00,112.023
80790.0,FWD,-16.423,-4.608,-65.318,67.508,12,4,0,0.1387,2474.28,107.337
80820.0,FWD,-15.062,-4.765,-64.739,66.639,12,4,0,0.1381,2646.89,246.476
80850.0,FWD,-15.071,-4.764,-64.679,66.583,13,4,0,0.1381,2392.03,179.322
80880.0,FWD,-17.619,-8.185,-62.548,65.495,13,4,0,0.1371,2183.63,112.103
80910.0,FWD,-17.636,-8.179,-62.491,65.446,13,4,0,0.1371,3460.79,241.926
80940.0,FWD,-17.650,-8.176,-62.436,65.396,13,4,0,0.1371,4352.03,134.749
80970.0,FWD,-17.657,-8.178,-62.383,65.347,13,4,0,0.1370,2847.47,240.884
81000.0,FWD,-17.671,-8.174,-62.328,65.299,13,4,0,0.1370,2431.22,352.366
81030.0,FWD,-17.691,-8.168,-62.276,65.253,13,4,0,0.1369,2668.87,202.772
81060.0,FWD,-17.706,-8.159,-62.219,65.202,13,4,0,0.1369,2531.20,113.223
81090.0,FWD,-17.715,-8.154,-62.160,65.148,12,4,0,0.1368,2102.53,323.270
81120.0,FWD,-17.727,-8.144,-62.101,65.092,12,4,0,0.1368,2447.15,135.197
81150.0,FWD,-17.737,-8.136,-62.042,65.039,12,4,0,0.1367,2690.17,132.519
81180.0,FWD,-17.748,-8.131,-61.987,64.988,12,4,0,0.1367,2362.73,258.151
81210.0,FWD,-17.755,-8.137,-61.939,64.945,12,4,0,0.1366,2644.74,261.653
81240.0,FWD,-24.742,-9.222,-65.806,70.906,12,4,0,0.1351,2250.01,117.914
81270.0,FWD,-24.761,-9.212,-65.752,70.861,12,4,0,0.1351,2393.49,147.442
81300.0,FWD,-23.849,-6.364,-60.129,64.998,12,4,0,0.1330,2149.59,133.931
81330.0,FWD,-22.234,-6.596,-59.332,63.704,12,4,0,0.1317,2462.32,274.481
81360.0,FWD,-22.232,-6.603,-59.297,63.671,12,4,0,0.1317,2288.15,154.839
81390.0,FWD,-22.238,-6.604,-59.259,63.638,12,4,0,0.1317,2350.89,126.505
81420.0,FWD,-22.247,-6.601,-59.221,63.605,13,4,0,0.1317,2465.09,229.980
81450.0,FWD,-29.308,-6.064,-59.063,66.213,13,4,0,0.1273,2258.89,119.534
81480.0,FWD,-32.640,-5.634,-58.669,67.373,13,4,0,0.1245,2327.98,124.722
81510.0,FWD,-32.643,-5.632,-58.653,67.361,13,4,0,0.1245,2184.73,154.179
81540.0,FWD,-32.644,-5.631,-58.641,67.350,13,4,0,0.1245,2375.85,151.271
81570.0,FWD,-30.498,-6.039,-57.064,64.984,13,4,0,0.1224,2246.67,263.444
81600.0,FWD,-29.607,-6.184,-56.420,64.017,13,4,0,0.1215,2660.26,260.889
81630.0,FWD,-29.608,-6.182,-56.412,64.009,13,4,0,0.1215,2197.58,249.531
81660.0,FWD,-29.608,-6.185,-56.411,64.008,13,4,0,0.1215,2627.59,137.057
81690.0,FWD,-29.615,-6.178,-56.397,63.999,13,4,0,0.1215,2524.02,118.166
81720.0,FWD,-29.609,-6.177,-56.380,63.981,13,4,0,0.1215,2657.01,213.958
81750.0,FWD,-35.224,-6.291,-56.307,66.714,13,4,0,0.1193,2980.92,131.389
81780.0,FWD,-35.215,-6.300,-56.311,66.714,13,4,0,0.1193,3047.28,372.814
81810.0,FWD,-35.208,-6.305,-56.316,66.714,13,4,0,0.1193,2031.47,208.385
81840.0,FWD,-37.240,-6.629,-56.366,67.882,13,4,0,0.1186,2288.78,160.084
81870.0,FWD,-41.174,-6.973,-55.942,69.810,13,4,0,0.1158,2482.13,154.918
81900.0,FWD,-41.169,-6.974,-55.956,69.818,13,4,0,0.1158,2434.06,252.324
81930.0,FWD,-41.159,-6.980,-55.970,69.824,13,4,0,0.1158,2360.01,308.609
81960.0,FWD,-41.149,-6.989,-55.989,69.834,12,4,0,0.1158,2511.11,262.476
