epoch,sod,gps_phase_mean_mm,gps_phase_median_mm,gps_phase_rms_mm,gps_code_mean_mm,gps_amb_sigma_mean_mm,gps_mean_elev_deg,dx_mm,dy_mm,dz_mm,clock_mm,zwd_mm
120,3600.0,28.5399,37.2286,43.1081,76.1914,90.5306,35.1063,-1116.8400,178.9427,1001.9881,-1193.9593,156.4019
121,3630.0,-494.8716,-488.5823,495.3971,-238.9142,118.8965,26.2160,-1115.7010,180.8489,1007.7559,-1322.4871,153.2020
122,3660.0,262.4585,270.1716,263.3656,-262.0013,113.7287,26.2885,-1116.7908,167.6096,1008.5695,-1057.5318,154.3207
123,3690.0,-38.3540,-32.1637,44.4805,-139.8284,1598.2513,35.1335,-1118.5155,169.0738,1003.0967,-1147.1903,152.2211
124,3720.0,-80.3177,-79.6887,90.0214,251.3377,762.8722,35.1421,-1122.1350,182.4324,994.6742,-1267.4133,151.1729
125,3750.0,85.8937,80.0073,87.7041,-388.9504,481.7737,35.1505,-1134.6616,170.9652,997.7615,-1245.5167,151.3102
126,3780.0,109.9428,120.7014,114.3772,174.4124,347.9490,35.1588,-1140.5235,156.1329,997.0590,-1152.9959,151.1291
127,3810.0,-14.2985,-14.0713,23.7508,223.6641,290.5487,38.1113,-1145.3337,160.2976,990.8011,-1094.0275,151.1767
128,3840.0,-13.2983,-16.5450,16.9816,663.5883,235.3696,38.1475,-1140.8958,176.4539,989.9889,-971.6528,153.2062
129,3870.0,-72.7650,-74.5760,73.4198,398.8199,197.6882,38.1833,-1147.3225,190.6982,991.9796,-1159.8318,154.6779
130,3900.0,-28.9324,-32.5351,31.2150,-282.3095,170.5084,38.2190,-1155.9648,196.8929,983.4286,-1356.6015,154.2226
131,3930.0,47.8995,42.0473,50.9208,-421.7840,150.1043,38.2544,-1150.6461,200.8258,975.3666,-1293.8417,154.3912
132,3960.0,116.6426,105.0897,118.3975,-354.5519,134.5072,38.2896,-1151.3650,188.0780,971.5511,-1055.6815,152.9141
133,3990.0,-28.5647,-31.8367,33.9685,-412.8868,121.8870,38.3246,-1138.8491,178.1985,972.6849,-1120.8836,150.5559
134,4020.0,50.3553,54.3216,53.0204,-225.1926,111.6506,38.3593,-1142.2796,172.8842,967.0326,-978.9512,150.6223
135,4050.0,19.3087,27.3719,29.1535,-393.8123,103.1990,38.3939,-1145.2768,178.9086,964.1622,-1080.9761,152.4831
136,4080.0,3.5104,7.3239,19.7373,-400.1232,96.1204,38.4282,-1138.9580,179.6901,959.2407,-1122.4891,152.1655
137,4110.0,14.3565,17.1794,23.7574,-377.7443,90.1159,38.4623,-1139.5826,173.0456,956.0969,-1116.0787,151.4308
138,4140.0,-70.7474,-69.8863,73.0026,-365.1941,85.1168,38.4962,-1143.0431,160.5131,951.5632,-1317.3217,147.4654
139,4170.0,13.0365,14.6279,23.6371,-53.6093,80.6228,38.5299,-1145.0566,159.0270,948.3527,-1261.8800,148.0841
140,4200.0,24.3429,31.5366,31.0689,32.5380,76.7031,38.5635,-1136.2112,165.1678,937.2378,-1158.7026,149.6424
141,4230.0,-33.1437,-29.5921,37.2668,9.5434,73.2575,38.5968,-1130.9539,171.4632,927.3493,-1297.1687,149.6513
142,4260.0,38.1251,33.2049,40.4872,164.4788,70.2110,38.6299,-1131.9401,173.7170,924.5825,-1094.5940,151.2320
143,4290.0,46.1405,47.2646,47.9970,-494.4477,67.4936,38.6629,-1137.3113,159.4936,927.0648,-1015.7100,150.9903
144,4320.0,-25.1946,-30.4358,28.7098,-50.2176,65.0591,38.6956,-1143.1749,158.3535,923.8325,-1153.0369,150.3853
145,4350.0,-39.1162,-42.2167,41.1215,-33.4254,62.9046,38.7282,-1145.1298,161.3473,920.6469,-1360.3830,150.0639
146,4380.0,-9.6235,-7.5395,16.2416,612.5762,60.9145,38.7606,-1130.6261,166.9877,925.8772,-1162.7310,151.0247
147,4410.0,-25.9358,-27.7150,30.6100,-88.2011,59.1068,38.7929,-1116.6347,154.8921,934.0694,-1191.4472,148.5285
148,4440.0,-90.5847,-89.9880,91.3211,-412.1590,57.9638,38.8250,-1109.2787,148.9838,922.5943,-1446.9661,144.3100
149,4470.0,57.2617,59.2506,58.4037,-487.7977,56.3727,38.8569,-1101.8542,147.5368,912.4867,-1277.1185,146.0552
150,4500.0,36.1963,34.0115,38.7129,-211.9723,54.9218,38.8886,-1088.3078,145.0127,916.9193,-1116.0446,147.8390
151,4530.0,-170.6907,-173.9518,171.9161,-110.5497,54.2767,38.9202,-1084.8668,145.5377,913.1430,-1399.6847,145.0353
152,4560.0,-6.4572,-3.5047,18.4934,-112.7279,52.9512,38.9516,-1079.8670,138.4729,910.3911,-1424.8703,143.8216
153,4590.0,176.0118,174.5071,176.4495,-1019.5642,52.2246,38.9829,-1078.6447,119.7737,904.0800,-1233.5530,145.1530
154,4620.0,7.5000,6.4984,16.3320,-147.7307,51.0411,39.0140,-1078.9143,127.3340,900.4628,-1356.9489,148.0684
155,4650.0,12.3856,14.2764,15.8643,-87.2469,49.9567,39.0449,-1079.9500,131.0052,896.9177,-1318.7273,149.2339
156,4680.0,37.4620,36.0697,39.2657,124.8860,48.9919,39.0757,-1087.0624,133.6950,899.1112,-1094.6529,151.2977
157,4710.0,4.9260,8.0204,13.4623,-345.0073,48.0629,39.1064,-1092.3079,131.7185,898.4489,-1168.2471,151.3738
158,4740.0,-25.4858,-23.9058,29.1600,181.2184,47.2072,39.1369,-1098.3583,136.0792,901.3664,-1358.8319,152.3642
159,4770.0,5.0819,7.2835,17.6030,704.8131,46.4022,39.1672,-1097.7984,147.1686,901.5424,-1174.3305,155.1343
160,4800.0,5.3415,3.6996,17.3622,474.2812,45.6496,39.1974,-1098.0944,162.6771,893.0551,-1077.1821,157.7191
161,4830.0,-34.9154,-33.4722,39.2997,269.7728,44.9551,39.2275,-1100.0637,173.5146,880.8341,-1257.6442,156.9891
162,4860.0,-3.8273,-3.7457,14.2375,-128.3439,44.2894,39.2574,-1097.2891,167.4809,880.0959,-1262.1376,155.3335
163,4890.0,8.0106,4.2159,17.8398,-490.8638,43.6633,39.2872,-1097.6076,157.5227,883.8663,-1306.8347,154.0969
164,4920.0,61.4479,59.1837,64.0366,-756.1383,43.0887,39.3168,-1101.8631,146.2589,881.6826,-1119.6786,154.3869
165,4950.0,23.7402,19.0988,29.3688,-607.8695,42.5286,39.3463,-1102.6318,133.9766,880.0349,-1139.9405,153.6688
166,4980.0,30.7801,32.4132,34.4445,-492.6466,41.9974,39.3757,-1095.6618,122.6089,878.7881,-1070.7639,153.6367
167,5010.0,2.6627,0.6761,17.9876,-198.4315,41.4925,39.4049,-1102.5088,110.5292,883.8076,-1127.8544,152.4783
168,5040.0,-46.5976,-52.0198,51.3213,-107.3908,41.1219,39.4340,-1107.4559,105.7926,891.4363,-1400.1237,151.4671
169,5070.0,24.3454,18.8033,29.7663,-69.5817,40.6511,39.4629,-1110.8649,97.3883,892.3443,-1230.8229,151.4061
170,5100.0,48.0174,47.7528,49.5475,-891.1604,40.2018,39.4917,-1105.8702,78.6297,887.1831,-1141.4096,150.7092
171,5130.0,1.1736,0.4229,13.3834,-525.3184,39.7719,39.5204,-1096.2186,66.5096,881.1553,-1287.8979,148.8661
172,5160.0,-8.0287,-11.0406,13.8145,-27.3127,39.3596,39.5489,-1095.7365,67.1181,873.6359,-1397.4640,148.6744
173,5190.0,11.1403,6.4893,16.4682,-283.1880,38.9635,39.5773,-1099.0226,60.7950,871.2779,-1405.6257,148.3838
174,5220.0,19.7851,18.8128,23.7901,-333.6808,38.5823,39.6055,-1096.9783,55.1633,864.4412,-1327.5465,148.1268
175,5250.0,25.5059,22.6318,29.0676,-421.9179,38.2149,39.6337,-1093.3472,45.5764,863.8845,-1254.3170,148.4696
176,5280.0,28.5343,25.0441,31.4511,-476.8869,37.8601,39.6616,-1093.2463,33.9296,861.1261,-1161.9358,148.1931
177,5310.0,5.5585,3.5921,16.0912,-503.8006,37.5170,39.6895,-1089.9957,25.8375,859.0434,-1307.2165,147.7605
178,5340.0,-12.6169,-18.2161,21.6797,42.6523,37.1848,39.7172,-1099.3304,24.0786,859.9487,-1448.1686,147.3944
179,5370.0,98.5483,92.9871,100.7946,-295.1661,36.9566,39.7448,-1109.6164,16.9395,859.5332,-1164.7141,149.0293
180,5400.0,16.2511,14.5387,26.6670,-626.1099,36.6362,39.7722,-1106.8890,9.9365,858.1850,-1299.0394,149.5610
181,5430.0,-14.8964,-20.7902,29.0552,377.9939,36.3255,39.7995,-1108.6894,17.6589,852.6759,-1439.6386,150.8647
182,5460.0,72.3800,67.8275,77.0918,802.5023,36.1278,39.8266,-1107.8038,29.3800,852.5332,-1070.5576,154.9217
183,5490.0,0.2016,3.7193,23.3017,345.8964,35.8284,39.8537,-1104.8202,29.4629,847.4598,-1036.7888,155.2883
184,5520.0,-34.7245,-30.4176,41.8102,632.4414,35.5434,39.8805,-1102.8880,34.3435,847.4628,-1207.4658,154.8752
185,5550.0,6.1701,13.7374,22.8951,-58.4807,35.2641,39.9073,-1105.7684,27.2949,846.2084,-1253.6723,154.5573
186,5580.0,-3.9940,-1.9074,22.5595,106.5654,34.9935,39.9339,-1104.6462,19.5585,844.8158,-1303.0268,153.4439
187,5610.0,3.3001,5.8972,23.6542,744.0544,34.7306,39.9603,-1111.3794,28.1418,848.1735,-1156.9831,156.5690
188,5640.0,-5.6675,-2.0044,23.6713,702.2356,34.4749,39.9866,-1121.3574,33.5281,847.7956,-1032.2297,157.1853
189,5670.0,-0.4911,1.6351,20.7343,-287.8048,34.2258,40.0128,-1127.8034,26.4680,845.8391,-1146.5702,155.3846
190,5700.0,-15.2659,-12.3943,25.9335,-109.6983,33.9862,40.0388,-1129.5812,25.5869,845.5472,-1351.6753,154.5595
191,5730.0,193.6078,207.0421,194.5114,153.7803,36.6712,36.2706,-1123.1509,32.3184,842.5310,-1060.9246,157.2457
