epoch,sod,sat,lineage_id,generation,parent_lineage_id,old_state,new_state,reason,sigma_mm,state_index,active,observable,in_filter,gap_length_epochs,convergence_score,rolling_sigma_mm,rolling_residual_rms_mm,acceptance_ratio,continuous_active_epochs,continuous_filter_epochs
531,15930.0,E09,LIN-001659,11,LIN-001652,RESET,REBORN,post_reset_rebirth,20000.00,7,1,1,0,0,0.0000,nan,nan,0.0308,0,0
531,15930.0,E09,LIN-001659,11,LIN-001652,REBORN,ACTIVE,reborn_to_active,20000.00,7,1,1,0,0,0.0000,nan,nan,0.0308,0,0
531,15930.0,E16,LIN-001660,74,LIN-001657,RESET,REBORN,post_reset_rebirth,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
531,15930.0,E16,LIN-001660,74,LIN-001657,REBORN,ACTIVE,reborn_to_active,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
531,15930.0,G08,LIN-001661,53,LIN-001658,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
531,15930.0,G08,LIN-001661,53,LIN-001658,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,E16,LIN-001660,74,LIN-001657,ACTIVE,SLIPPED,cycle_slip,20000.00,8,0,1,0,0,0.0000,nan,nan,0.0044,0,0
-1,nan,E16,LIN-001660,74,LIN-001657,SLIPPED,RESET,cycle_slip,20000.00,8,0,1,0,0,0.0000,nan,nan,0.0044,0,0
-1,nan,G08,LIN-001661,53,LIN-001658,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001661,53,LIN-001658,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
532,15960.0,E09,LIN-001659,11,LIN-001652,ACTIVE,DORMANT,deactivate,20000.00,7,0,0,0,0,0.0000,20000.0000,nan,0.0308,0,0
532,15960.0,E16,LIN-001662,75,LIN-001660,RESET,REBORN,post_reset_rebirth,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
532,15960.0,E16,LIN-001662,75,LIN-001660,REBORN,ACTIVE,reborn_to_active,20000.00,8,1,1,0,0,0.0000,nan,nan,0.0044,0,0
532,15960.0,G08,LIN-001663,54,LIN-001661,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
532,15960.0,G08,LIN-001663,54,LIN-001661,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001663,54,LIN-001661,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001663,54,LIN-001661,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
533,15990.0,E16,LIN-001662,75,LIN-001660,ACTIVE,DORMANT,deactivate,20000.00,8,0,0,0,0,0.0000,20000.0000,nan,0.0044,0,0
533,15990.0,G08,LIN-001664,55,LIN-001663,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
533,15990.0,G08,LIN-001664,55,LIN-001663,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001664,55,LIN-001663,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001664,55,LIN-001663,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
534,16020.0,G08,LIN-001665,56,LIN-001664,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
534,16020.0,G08,LIN-001665,56,LIN-001664,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
