pass_label,epoch_sod,satellite,system,elevation_deg,azimuth_deg,raw_phase_L1_m,raw_phase_L2_m,raw_code_P1_m,raw_code_P2_m,LIF_raw_m,PIF_raw_m,sat_pco_x_mm,sat_pco_y_mm,sat_pco_z_mm,sat_apc_range_mm,sat_pcv_mm,rec_pco_x_mm,rec_pco_y_mm,rec_pco_z_mm,rec_apc_range_mm,rec_pcv_mm,osb_code_L1_mm,osb_code_L2_mm,osb_phase_L1_mm,osb_phase_L2_mm,osb_IF_code_mm,osb_IF_phase_mm,tropo_hydro_m,tropo_wet_m,sagnac_mm,relativity_mm,phase_windup_cycles,phase_windup_mm,solid_earth_tide_mm,ocean_loading_mm,geom_range_m,corrected_phase_m,corrected_code_m,predicted_phase_m,predicted_code_m,phase_residual_mm,code_residual_mm,float_ambiguity_state_m,float_ambiguity_cycles,wl_fixed,nl_fixed
GPS-only,120.0,G04,G,26.535,-26.173,121487968.291000,94665949.347000,23118386.812000,23118386.213000,23118391.675831,23118387.737891,-60.991,20.386,1940.252,-1897.0985,42.4000,-0.851,-2.922,45.739,-20.9035,-8.3469,-253.8043,-418.0006,351.0000,549.8943,-0.0015,43.5636,4.656509,0.363200,13801.3038,2424.6028,0.401554,56.9710,-0.0009,2.1129,23131180.100734,23118391.575297,23118387.737892,23118392.437728,23118387.517692,-862.4309,220.2003,4.920036,34.678344,0,0
GPS-only,120.0,G08,G,16.388,175.053,125635666.879000,97897931.689000,23907672.438000,23907669.796000,23907668.919319,23907676.521813,394.000,0.000,1427.680,-1352.1500,23.5000,-0.851,-2.922,45.739,-13.4764,0.0091,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.305440,0.572691,-3008.9630,7883.8958,-0.313691,-44.5053,-0.0006,0.0443,24056077.379644,23907668.976825,23907676.521796,23907669.209555,23907669.786893,-232.7301,6734.9030,-0.577338,-4.069306,0,0
GPS-only,120.0,G16,G,70.510,83.802,105487992.906000,82198441.942000,20073689.705000,20073688.817000,20073695.374779,20073691.077606,12.600,-6.900,1389.150,-1383.4244,6.4000,-0.851,-2.922,45.739,-42.1186,-5.5929,-1247.1366,-2053.9681,-289.0449,-446.5828,0.0051,-45.5341,2.217585,0.172500,-10097.4809,5961.1593,-0.450855,-63.9656,-0.0020,6.9101,20134551.166789,20073695.484279,20073691.077601,20073696.285853,20073692.566059,-801.5741,-1488.4578,3.719794,26.218570,0,0
GPS-only,120.0,G26,G,39.492,41.140,114854630.288000,89497134.783000,21856100.341000,21856101.741000,21856101.782748,21856098.176981,394.000,0.000,1433.580,-1367.3210,23.5000,-0.851,-2.922,45.739,-27.1108,-12.9645,3901.1093,6424.9121,357.4276,573.1642,-0.0028,23.9574,3.281469,0.255499,-16703.0138,-1649.0777,0.245742,34.8650,-0.0014,7.1904,21759203.284936,21856101.723926,21856098.176984,21856102.706601,21856098.393369,-982.6757,-216.3853,4.313232,30.401354,0,0
GPS-only,120.0,G27,G,22.471,143.718,123236975.358000,96028801.049000,23451211.489000,23451215.296000,23451220.786892,23451205.604414,394.000,0.000,1436.320,-1337.0297,23.5000,-0.851,-2.922,45.739,-16.5183,-5.5878,2595.2134,4274.1711,213.1884,345.3099,0.0018,8.9645,5.430282,0.424083,-19380.2344,9787.1452,-0.237446,-33.6879,-0.0008,3.3238,23440589.626210,23451220.811616,23451205.604412,23451220.656961,23451211.793877,154.6545,-6189.4642,8.863085,62.470503,0,0
GPS-only,150.0,G01,G,25.392,-129.416,121518381.872000,94689637.627000,23124178.888000,23124178.289000,23124183.194570,23124179.813891,-68.444,20.595,1965.013,-1911.6314,42.4000,-0.851,-2.922,45.739,-22.1414,-7.7406,-1583.3838,-2607.7447,61.0407,92.9866,-0.0008,11.6611,4.848589,0.373825,24508.1479,419.3643,-0.423504,-60.0852,-0.0008,-2.2635,23224720.178122,23124183.242994,23124179.813892,23124183.384336,23124181.767880,-141.3418,-1953.9880,1.616456,11.393417,0,0
GPS-only,150.0,G03,G,61.949,-49.246,108029095.484000,84178517.388000,20557250.580000,20557251.402000,20557252.810279,20557249.309412,394.000,0.000,1482.260,-1509.4678,23.5000,-0.851,-2.922,45.739,-41.1460,-9.7436,2404.5454,3960.1684,-159.0549,-251.0402,-0.0244,-16.8706,2.368298,0.182069,11165.7872,-4306.8792,0.471929,66.9556,-0.0018,3.6955,20730251.274120,20557252.760194,20557249.309436,20557252.810462,20557248.732624,-50.2686,576.8123,4.077839,28.742209,0,0
GPS-only,150.0,G04,G,26.660,-25.992,121427575.743000,94618890.228000,23106894.876000,23106894.061000,23106899.352548,23106896.135768,-60.991,20.386,1940.252,-1897.1701,42.4000,-0.851,-2.922,45.739,-20.9837,-8.4133,-253.8043,-418.0006,351.0000,549.8943,-0.0015,43.5636,4.636519,0.357360,13690.7673,2428.0783,0.400947,56.8849,-0.0009,2.1361,23119687.167146,23106899.252099,23106896.135770,23106899.256722,23106894.644543,-4.6229,1491.2265,4.612179,32.508450,0,0
GPS-only,150.0,G08,G,16.506,174.886,125566783.624000,97844256.464000,23894563.061000,23894563.687000,23894560.857146,23894562.093374,394.000,0.000,1427.680,-1352.2026,23.5000,-0.851,-2.922,45.739,-13.5583,-0.1120,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.256041,0.562037,-3106.4958,7885.6779,-0.313012,-44.4090,-0.0006,0.0628,24042969.954249,23894560.914556,23894562.093358,23894561.286005,23894562.449400,-371.4495,-356.0421,-1.163395,-8.200063,0,0
GPS-only,150.0,G16,G,70.455,83.003,105490992.167000,82200779.038000,20074260.683000,20074259.643000,20074266.111582,20074262.290557,12.600,-6.900,1389.150,-1383.3928,6.4000,-0.851,-2.922,45.739,-42.0990,-5.6183,-1247.1366,-2053.9681,-289.0449,-446.5828,0.0051,-45.5341,2.218330,0.170521,-10108.5341,5923.7175,-0.453273,-64.3087,-0.0020,6.9045,20135121.180714,20074266.221425,20074262.290552,20074266.401459,20074262.622501,-180.0346,-331.9490,3.778959,26.635585,0,0
GPS-only,150.0,G26,G,39.285,41.021,114935250.067000,89559955.394000,21871441.481000,21871443.016000,21871443.215089,21871439.108308,394.000,0.000,1433.580,-1367.2465,23.5000,-0.851,-2.922,45.739,-26.9797,-12.9182,3901.1093,6424.9121,357.4276,573.1642,-0.0028,23.9574,3.295857,0.253593,-16724.6772,-1681.6451,0.244710,34.7186,-0.0014,7.1730,21774543.817151,21871443.156413,21871439.108311,21871443.424865,21871439.131600,-268.4524,-23.2892,4.293266,30.260622,0,0
GPS-only,150.0,G27,G,22.576,143.510,123176490.413000,95981669.992000,23439702.248000,23439705.449000,23439710.858523,23439697.300125,394.000,0.000,1436.320,-1336.9747,23.5000,-0.851,-2.922,45.739,-16.5873,-5.6690,2595.2134,4274.1711,213.1884,345.3099,0.0018,8.9645,5.406604,0.417230,-19451.6704,9785.5421,-0.236524,-33.5572,-0.0009,3.3398,23429080.011973,23439710.883116,23439697.300124,23439711.228810,23439702.340321,-345.6942,-5040.1970,8.888489,62.649565,0,0
GPS-only,180.0,G01,G,25.293,-129.644,121564775.739000,94725788.705000,23133007.208000,23133006.486000,23133011.649083,23133008.324015,-68.444,20.595,1965.013,-1911.5787,42.4000,-0.851,-2.922,45.739,-22.0676,-7.6879,-1583.3838,-2607.7447,61.0407,92.9866,-0.0008,11.6611,4.866102,0.371217,24457.1288,423.4694,-0.422959,-60.0079,-0.0008,-2.2764,23233548.434352,23133011.697430,23133008.324016,23133011.585532,23133009.787784,111.8981,-1463.7680,1.797747,12.671229,0,0
GPS-only,180.0,G03,G,62.135,-49.632,107992676.935000,84150139.292000,20550320.392000,20550321.644000,20550322.593048,20550318.456749,394.000,0.000,1482.260,-1509.6037,23.5000,-0.851,-2.922,45.739,-41.2189,-9.6583,2404.5454,3960.1684,-159.0549,-251.0402,-0.0244,-16.8706,2.364233,0.179833,11158.2178,-4310.5851,0.472442,67.0283,-0.0018,3.6845,20723320.824474,20550322.542890,20550318.456773,20550322.122534,20550318.091637,420.3557,365.1362,4.030897,28.411347,0,0
GPS-only,180.0,G04,G,26.785,-25.811,121367080.665000,94571751.223000,23095382.364000,23095382.287000,23095387.515620,23095382.483021,-60.991,20.386,1940.252,-1897.2428,42.4000,-0.851,-2.922,45.739,-21.0641,-8.4798,-253.8043,-418.0006,351.0000,549.8943,-0.0015,43.5636,4.616654,0.352054,13580.2931,2431.5316,0.400340,56.7987,-0.0009,2.1592,23108175.366303,23095387.415258,23095382.483023,23095387.212380,23095382.504093,202.8777,-21.0705,4.708287,33.185859,0,0
GPS-only,180.0,G08,G,16.625,174.720,125497715.981000,97790437.565000,23881420.199000,23881421.940000,23881417.705231,23881417.507888,394.000,0.000,1427.680,-1352.2546,23.5000,-0.851,-2.922,45.739,-13.6405,-0.2336,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.207120,0.552280,-3203.7483,7887.3372,-0.312332,-44.3126,-0.0006,0.0812,24029826.523412,23881417.762544,23881417.507871,23881417.731306,23881418.713345,31.2379,-1205.4731,-0.982038,-6.921791,0,0
GPS-only,180.0,G16,G,70.397,82.208,105494634.550000,82203617.263000,20074953.819000,20074952.186000,20074959.232329,20074956.343173,12.600,-6.900,1389.150,-1383.3593,6.4000,-0.851,-2.922,45.739,-42.0784,-5.6456,-1247.1366,-2053.9681,-289.0449,-446.5828,0.0051,-45.5341,2.219130,0.168778,-10119.6136,5886.1877,-0.455784,-64.6650,-0.0020,6.8988,20135814.000491,20074959.342529,20074956.343168,20074958.852684,20074955.146052,489.8441,1197.1162,3.706632,26.125801,0,0
