SOD,nGPS,nGal,NL_count,WL_count,n_sats,GPS_NE_frac,gal_sig_scale,Gal_leverage,sigma_U_comb_mm,sigma_U_GPS_mm,ISB_m,P_ISB_m2,ISB_observable,ZWD_m,P_ZWD_m2,corr_U_ZWD,corr_mean_60ep,Q_ZWD_m2s,decorr_active,trace_P_pos_m2,nml_sc_gps,nml_sc_gal
48840.0,9,3,0,2,12,0.8768,1.0000,182.665,14.56,2659.00,+1.410040,0.004096,1,0.119494,0.00002980,-0.0331,0.0354,5.000e-11,0,0.001119,1.0226,0.9774
48900.0,9,3,0,2,12,0.8597,1.0000,178.947,14.55,2604.16,+1.409224,0.004128,1,0.119499,0.00002976,-0.0330,0.0353,5.000e-11,0,0.001119,1.0265,0.9735
48960.0,9,3,0,2,12,0.8701,1.0000,234.280,14.55,3408.45,+1.408374,0.004160,1,0.119491,0.00002973,-0.0328,0.0352,5.000e-11,0,0.001119,1.0302,0.9698
49020.0,9,3,0,2,12,0.8739,1.0000,229.057,14.54,3331.54,+1.405973,0.004191,1,0.119485,0.00002969,-0.0327,0.0352,5.000e-11,0,0.001119,1.0337,0.9663
49080.0,9,3,0,2,12,0.7966,1.0000,207.893,14.54,3022.88,+1.402671,0.004221,1,0.119464,0.00002965,-0.0326,0.0351,5.000e-11,0,0.001119,1.0370,0.9630
49140.0,9,3,0,2,12,0.9656,1.0000,197.722,14.54,2874.21,+1.400690,0.004245,1,0.119445,0.00002962,-0.0325,0.0350,5.000e-11,0,0.001118,1.0000,1.0000
49200.0,9,3,0,2,12,0.9009,1.0000,194.509,14.53,2826.73,+1.398449,0.004273,1,0.119439,0.00002958,-0.0324,0.0349,5.000e-11,0,0.001118,1.0050,0.9950
49260.0,9,3,0,2,12,0.9549,1.0000,192.590,14.53,2798.08,+1.398950,0.004291,1,0.119434,0.00002954,-0.0323,0.0349,5.000e-11,0,0.001117,1.0000,1.0000
49320.0,9,3,0,2,12,0.8372,1.0000,183.234,14.52,2661.42,+1.394668,0.004316,1,0.119412,0.00002951,-0.0322,0.0348,5.000e-11,0,0.001117,1.0050,0.9950
49380.0,9,3,0,2,12,0.8395,1.0000,179.930,14.52,2612.74,+1.396282,0.004342,1,0.119411,0.00002947,-0.0321,0.0347,5.000e-11,0,0.001117,1.0098,0.9902
49440.0,9,3,0,2,12,0.9747,1.0000,146.192,14.52,2122.24,+1.395757,0.004367,1,0.119398,0.00002943,-0.0320,0.0346,5.000e-11,0,0.001117,1.0000,1.0000
49500.0,9,3,0,2,12,0.8522,1.0000,166.061,14.51,2410.03,+1.394982,0.004393,1,0.119396,0.00002940,-0.0319,0.0345,5.000e-11,0,0.001117,1.0050,0.9950
49560.0,9,3,0,2,12,0.9362,1.0000,153.158,14.51,2222.18,+1.392015,0.004419,1,0.119381,0.00002936,-0.0318,0.0345,5.000e-11,0,0.001117,1.0000,1.0000
49620.0,9,3,0,2,12,0.8621,1.0000,165.937,14.51,2406.95,+1.391567,0.004445,1,0.119366,0.00002933,-0.0316,0.0344,5.000e-11,0,0.001118,1.0050,0.9950
49680.0,9,3,0,2,12,0.7826,1.0000,164.544,14.50,2386.12,+1.391146,0.004470,1,0.119369,0.00002929,-0.0315,0.0343,5.000e-11,0,0.001118,1.0000,1.0000
49740.0,9,3,0,2,12,0.8717,1.0000,162.611,14.50,2357.48,+1.390282,0.004495,1,0.119362,0.00002926,-0.0314,0.0342,5.000e-11,0,0.001118,1.0050,0.9950
49800.0,8,3,0,2,11,0.7257,1.0000,247.669,14.49,3589.64,+1.387837,0.004342,1,0.119369,0.00002922,-0.0314,0.0341,5.000e-11,0,0.001112,1.0000,1.0000
