SOD,sat,event_type,corr_frac,sigma
4800.0,G03,SKIP_SIGMA,-0.1090,0.0814
4800.0,G16,SKIP_SIGMA,-0.0912,0.0730
4830.0,G03,SKIP_SIGMA,-0.1278,0.0811
4830.0,G16,SKIP_SIGMA,-0.1201,0.0728
4860.0,G03,SKIP_SIGMA,-0.1201,0.0809
4860.0,G16,SKIP_SIGMA,-0.1260,0.0725
4890.0,G03,SKIP_SIGMA,-0.0758,0.0806
4890.0,G16,SKIP_SIGMA,-0.1164,0.0723
4920.0,G03,SKIP_SIGMA,-0.0720,0.0803
4920.0,G16,SKIP_SIGMA,-0.0837,0.0721
4950.0,G03,SKIP_SIGMA,-0.0263,0.0799
4950.0,G16,SKIP_SIGMA,-0.0515,0.0718
4980.0,G03,SKIP_SIGMA,+0.0081,0.0796
4980.0,G16,SKIP_SIGMA,-0.0267,0.0716
5010.0,G03,SKIP_SIGMA,+0.0147,0.0794
5010.0,G16,SKIP_SIGMA,-0.0057,0.0714
5040.0,G03,SKIP_SIGMA,+0.0329,0.0791
5040.0,G16,SKIP_SIGMA,+0.0156,0.0712
5070.0,G03,SKIP_SIGMA,+0.0008,0.0789
5070.0,G16,SKIP_SIGMA,+0.0097,0.0709
5100.0,G03,SKIP_SIGMA,+0.0387,0.0786
5100.0,G16,SKIP_SIGMA,+0.0418,0.0707
5130.0,G03,SKIP_SIGMA,+0.0782,0.0784
5130.0,G16,SKIP_SIGMA,+0.0623,0.0705
5160.0,G03,SKIP_SIGMA,+0.0885,0.0782
5160.0,G16,SKIP_SIGMA,+0.0764,0.0703
5190.0,G03,SKIP_SIGMA,+0.0982,0.0780
5190.0,G16,SKIP_SIGMA,+0.1060,0.0701
5220.0,G03,SKIP_SIGMA,+0.1250,0.0778
5250.0,G03,SKIP_SIGMA,+0.1668,0.0776
5280.0,G03,SKIP_SIGMA,+0.1995,0.0774
5310.0,G03,SKIP_SIGMA,+0.2452,0.0772
5340.0,G03,SKIP_SIGMA,+0.2498,0.0770
5370.0,G03,SKIP_SIGMA,+0.2578,0.0768
5400.0,G03,SKIP_SIGMA,+0.3031,0.0766
5430.0,G03,SKIP_SIGMA,+0.2926,0.0764
5460.0,G03,SKIP_SIGMA,+0.2676,0.0762
5490.0,G03,SKIP_SIGMA,+0.2671,0.0761
5520.0,G03,SKIP_SIGMA,+0.2543,0.0759
5550.0,G03,SKIP_SIGMA,+0.2616,0.0757
