SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
5490.0,G16,-0.47032,+0.30028,+0.22940,0.0683,46,0
5520.0,G03,+0.19112,-0.06320,+0.25433,0.0759,53,0
5520.0,G16,+0.49991,+0.30028,+0.19964,0.0682,46,0
5550.0,G03,+0.19844,-0.06320,+0.26164,0.0757,54,0
5550.0,G16,-0.48050,+0.30028,+0.21922,0.0680,46,0
5580.0,G03,+0.20063,-0.06320,+0.26383,0.0755,55,0
5580.0,G16,-0.48501,+0.30028,+0.21471,0.0678,47,0
5610.0,G03,+0.17532,-0.06320,+0.23852,0.0753,55,0
5610.0,G16,-0.48679,+0.30028,+0.21293,0.0677,48,0
5640.0,G03,+0.11140,+0.02380,+0.08761,0.0752,55,0
5640.0,G16,+0.49371,+0.30028,+0.19343,0.0674,48,0
5670.0,G03,+0.10243,+0.03738,+0.06505,0.0750,56,0
5670.0,G16,+0.49836,+0.30028,+0.19808,0.0673,49,0
5700.0,G03,+0.11182,+0.05100,+0.06082,0.0748,57,0
5700.0,G16,-0.49208,+0.30028,+0.20764,0.0671,49,0
5730.0,G03,+0.08773,+0.05100,+0.03673,0.0746,57,0
5730.0,G16,+0.46562,+0.37887,+0.08675,0.0669,49,0
5760.0,G03,+0.10921,+0.05100,+0.05821,0.0744,57,0
5760.0,G16,+0.48084,+0.38917,+0.09167,0.0667,50,0
5790.0,G03,+0.10790,+0.06103,+0.04686,0.0743,58,0
5790.0,G16,+0.48837,+0.40300,+0.08537,0.0666,51,0
5820.0,G03,+0.10127,+0.07071,+0.03055,0.0741,59,0
5820.0,G16,+0.49306,+0.41632,+0.07674,0.0664,52,0
5850.0,G03,+0.07267,+0.07071,+0.00195,0.0739,59,0
5850.0,G16,+0.47637,+0.42812,+0.04825,0.0663,53,0
5880.0,G03,+0.07767,+0.07775,-0.00008,0.0738,60,0
5880.0,G16,+0.49520,+0.43896,+0.05624,0.0661,54,0
5910.0,G03,+0.07513,+0.08336,-0.00823,0.0736,61,0
5910.0,G16,-0.48083,+0.43896,+0.08021,0.0659,54,0
5940.0,G03,+0.07081,+0.09278,-0.02197,0.0734,62,0
5940.0,G16,-0.46573,+0.45328,+0.08099,0.0658,55,0
