SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
4770.0,G03,-0.09711,-0.04010,-0.05700,0.0817,41,0
4770.0,G16,+0.26839,+0.32984,-0.06146,0.0733,34,0
4800.0,G03,-0.14907,-0.04010,-0.10896,0.0814,41,0
4800.0,G16,+0.23862,+0.32984,-0.09122,0.0730,34,0
4830.0,G03,-0.16791,-0.04010,-0.12780,0.0811,42,0
4830.0,G16,+0.20975,+0.32984,-0.12009,0.0728,34,0
4860.0,G03,-0.16017,-0.04010,-0.12007,0.0809,43,0
4860.0,G16,+0.20380,+0.32984,-0.12605,0.0725,35,0
4890.0,G03,-0.13296,-0.05713,-0.07583,0.0806,43,0
4890.0,G16,+0.21349,+0.32984,-0.11636,0.0723,36,0
4920.0,G03,-0.13897,-0.06701,-0.07195,0.0803,44,0
4920.0,G16,+0.23511,+0.31881,-0.08370,0.0721,36,0
4950.0,G03,-0.09330,-0.06701,-0.02629,0.0799,44,0
4950.0,G16,+0.26729,+0.31881,-0.05152,0.0718,36,0
4980.0,G03,-0.05889,-0.06701,+0.00812,0.0796,44,0
4980.0,G16,+0.29211,+0.31881,-0.02670,0.0716,36,0
5010.0,G03,-0.05712,-0.07180,+0.01467,0.0794,45,0
5010.0,G16,+0.31309,+0.31881,-0.00572,0.0714,36,0
5040.0,G03,-0.04313,-0.07603,+0.03290,0.0791,46,0
5040.0,G16,+0.32877,+0.31314,+0.01563,0.0712,37,0
5070.0,G03,-0.07523,-0.07603,+0.00080,0.0789,46,0
5070.0,G16,+0.31568,+0.30599,+0.00969,0.0709,38,0
5100.0,G03,-0.03736,-0.07603,+0.03867,0.0786,46,0
5100.0,G16,+0.34779,+0.30599,+0.04180,0.0707,38,0
5130.0,G03,+0.00215,-0.07603,+0.07819,0.0784,46,0
5130.0,G16,+0.36576,+0.30348,+0.06227,0.0705,39,0
5160.0,G03,+0.01874,-0.06976,+0.08850,0.0782,47,0
5160.0,G16,+0.37666,+0.30028,+0.07638,0.0703,40,0
5190.0,G03,+0.03498,-0.06320,+0.09818,0.0780,48,0
5190.0,G16,+0.40630,+0.30028,+0.10602,0.0701,40,0
5220.0,G03,+0.06178,-0.06320,+0.12498,0.0778,48,0
5220.0,G16,+0.42306,+0.30028,+0.12278,0.0699,41,0
5250.0,G03,+0.10361,-0.06320,+0.16681,0.0776,48,0
5250.0,G16,+0.44216,+0.30028,+0.14188,0.0698,42,0
5280.0,G03,+0.13629,-0.06320,+0.19949,0.0774,48,0
5280.0,G16,+0.46103,+0.30028,+0.16075,0.0696,43,0
5310.0,G03,+0.18198,-0.06320,+0.24519,0.0772,48,0
5310.0,G16,+0.48056,+0.30028,+0.18028,0.0694,44,0
5340.0,G03,+0.18660,-0.06320,+0.24980,0.0770,49,0
5340.0,G16,+0.48432,+0.30028,+0.18404,0.0692,45,0
5370.0,G03,+0.19456,-0.06320,+0.25776,0.0768,50,0
5370.0,G16,-0.47182,+0.30028,+0.22790,0.0690,45,0
5400.0,G03,+0.23991,-0.06320,+0.30311,0.0766,50,0
5400.0,G16,-0.42359,+0.30028,+0.27613,0.0689,45,0
5430.0,G03,+0.22944,-0.06320,+0.29264,0.0764,51,0
5430.0,G16,-0.41436,+0.30028,+0.28536,0.0687,46,0
5460.0,G03,+0.20440,-0.06320,+0.26760,0.0762,51,0
5460.0,G16,-0.43786,+0.30028,+0.26186,0.0685,46,0
5490.0,G03,+0.20388,-0.06320,+0.26708,0.0761,52,0
