SOD,ISB_E_m,P_ISB_m2,NL_count,isb_reinitialized
31080.0,+1.612773,0.003628,0,0
31140.0,+1.610657,0.003628,0,0
31200.0,+1.615294,0.003631,0,0
31260.0,+1.613049,0.003621,0,0
31320.0,+1.617347,0.003625,0,0
31380.0,+1.618987,0.003636,0,0
31440.0,+1.623488,0.003630,0,0
31500.0,+1.623458,0.003626,0,0
31560.0,+1.623092,0.003634,0,0
31620.0,+1.624715,0.003647,0,0
31680.0,+1.629029,0.003632,0,0
31740.0,+1.627573,0.003637,0,0
31800.0,+1.627759,0.003621,0,0
31860.0,+1.628008,0.003626,0,0
31920.0,+1.632965,0.003628,0,0
31980.0,+1.632896,0.003639,0,0
32040.0,+1.630310,0.003646,0,0
32100.0,+1.629066,0.003656,0,0
32160.0,+1.625755,0.003666,0,0
32220.0,+1.626168,0.003675,0,0
32280.0,+1.626977,0.003684,0,0
32340.0,+1.625875,0.003692,0,0
32400.0,+1.624097,0.003640,0,0
32460.0,+1.624425,0.003574,0,0
32520.0,+1.624718,0.003530,0,0
32580.0,+1.628336,0.003513,0,0
32640.0,+1.626783,0.003482,0,0
32700.0,+1.630239,0.003455,0,0
32760.0,+1.631930,0.003459,0,0
32820.0,+1.633854,0.003470,0,0
32880.0,+1.633745,0.003469,0,0
32940.0,+1.635727,0.003483,0,0
33000.0,+1.637718,0.003476,0,0
33060.0,+1.633762,0.003480,0,0
33120.0,+1.629441,0.003490,0,0
33180.0,+1.631792,0.003502,0,0
33240.0,+1.629268,0.003516,0,0
33300.0,+1.632257,0.003520,0,0
33360.0,+1.633083,0.003530,0,0
33420.0,+1.632410,0.003540,0,0
33480.0,+1.630334,0.003551,0,0
33540.0,+1.629088,0.003517,0,0
33600.0,+1.627155,0.003517,0,0
33660.0,+1.626479,0.003440,0,0
33720.0,+1.629463,0.003427,0,0
33780.0,+1.628055,0.003430,0,0
33840.0,+1.629175,0.003433,0,0
33900.0,+1.631610,0.003436,0,0
33960.0,+1.634842,0.003366,0,0
34020.0,+1.629526,0.003334,0,0
34080.0,+1.629796,0.003294,0,0
34140.0,+1.629579,0.003295,0,0
34200.0,+1.631369,0.003296,0,0
34260.0,+1.629422,0.003314,0,0
34320.0,+1.630679,0.003261,0,0
34380.0,+1.627215,0.003257,0,0
34440.0,+1.627311,0.003267,0,0
34500.0,+1.630537,0.003276,0,0
34560.0,+1.631717,0.003289,0,0
34620.0,+1.631471,0.003309,0,0
34680.0,+1.633014,0.003330,0,0
34740.0,+1.632757,0.003351,0,0
34800.0,+1.631048,0.003372,0,0
34860.0,+1.636157,0.003374,0,0
34920.0,+1.642665,0.003385,0,0
34980.0,+1.643568,0.003400,0,0
35040.0,+1.645732,0.003417,0,0
35100.0,+1.645742,0.003434,0,0
35160.0,+1.648940,0.003451,0,0
35220.0,+1.648786,0.003467,0,0
35280.0,+1.650117,0.003441,0,0
35340.0,+1.648494,0.003444,0,0
35400.0,+1.647338,0.003455,0,0
35460.0,+1.647016,0.003471,0,0
35520.0,+1.650364,0.003488,0,0
35580.0,+1.655387,0.003473,0,0
35640.0,+1.660988,0.003439,0,0
35700.0,+1.662180,0.003444,0,0
35760.0,+1.656205,0.003438,0,0
35820.0,+1.659837,0.003447,0,0
35880.0,+1.661604,0.003461,0,0
35940.0,+1.660014,0.003477,0,0
36000.0,+1.659503,0.003494,0,0
36060.0,+1.661642,0.003510,0,0
36120.0,+1.665419,0.003526,0,0
36180.0,+1.665148,0.003447,0,0
36240.0,+1.659568,0.003431,0,0
36300.0,+1.656865,0.003432,0,0
36360.0,+1.658165,0.003443,0,0
36420.0,+1.659587,0.003457,0,0
36480.0,+1.657438,0.003424,0,0
36540.0,+1.653483,0.003358,0,0
36600.0,+1.652097,0.003348,0,0
36660.0,+1.650451,0.003300,0,0
36720.0,+1.647287,0.003262,0,0
36780.0,+1.644771,0.003270,0,0
